adp_name,position,adp_team,adp,adp_formatted,times_drafted,high,low,stdev,bye,adp_overall_rank,adp_total_drafts,adp_window_end,adp_scoring
Bijan Robinson,RB,ATL,1.5,1.02,95,1,3,0.7,11,1,943,2026-07-04,PPR
Jahmyr Gibbs,RB,DET,1.9,1.02,64,1,4,0.8,6,2,943,2026-07-04,PPR
Puka Nacua,WR,LAR,2.6,1.03,21,1,3,0.7,11,3,943,2026-07-04,PPR
Ja'Marr Chase,WR,CIN,3.7,1.04,127,1,6,1.1,6,4,943,2026-07-04,PPR
Christian McCaffrey,RB,SF,4.9,1.05,58,3,7,1.1,8,5,943,2026-07-04,PPR
Jaxon Smith-Njigba,WR,SEA,5.9,1.06,73,3,9,1.3,11,6,943,2026-07-04,PPR
Amon-Ra St. Brown,WR,DET,7.2,1.07,66,4,10,1.1,6,7,943,2026-07-04,PPR
Jonathan Taylor,RB,IND,7.4,1.07,104,3,13,1.8,13,8,943,2026-07-04,PPR
De'Von Achane,RB,MIA,9.4,1.09,45,4,12,1.8,6,9,943,2026-07-04,PPR
Justin Jefferson,WR,MIN,10.3,1.10,60,7,16,1.6,6,10,943,2026-07-04,PPR
CeeDee Lamb,WR,DAL,10.6,1.11,65,7,15,1.6,14,11,943,2026-07-04,PPR
Ashton Jeanty,RB,LV,12.5,1.12,39,6,16,2.3,13,12,943,2026-07-04,PPR
Drake London,WR,ATL,12.7,2.01,20,10,17,1.8,11,13,943,2026-07-04,PPR
James Cook III,RB,BUF,13.9,2.02,109,7,21,2.6,7,14,943,2026-07-04,PPR
A.J. Brown,WR,NE,15.0,2.03,32,8,19,2.6,11,15,943,2026-07-04,PPR
Chase Brown,RB,CIN,15.4,2.03,97,8,23,3.1,6,16,943,2026-07-04,PPR
Derrick Henry,RB,BAL,15.7,2.04,52,7,24,3.2,13,17,943,2026-07-04,PPR
Omarion Hampton,RB,LAC,16.3,2.04,124,6,23,3.9,7,18,943,2026-07-04,PPR
George Pickens,WR,DAL,16.7,2.05,52,12,22,2.2,14,19,943,2026-07-04,PPR
Chris Olave,WR,NO,19.7,2.08,24,15,24,2.2,8,20,943,2026-07-04,PPR
Saquon Barkley,RB,PHI,20.0,2.08,138,12,29,3.1,10,21,943,2026-07-04,PPR
Jeremiyah Love,RB,ARI,21.6,2.10,37,18,25,2.0,14,22,943,2026-07-04,PPR
Kenneth Walker III,RB,KC,22.7,2.11,73,18,28,2.3,5,23,943,2026-07-04,PPR
Nico Collins,WR,HOU,24.6,3.01,68,17,32,3.0,8,24,943,2026-07-04,PPR
Zay Flowers,WR,BAL,26.4,3.02,18,21,33,2.5,13,25,943,2026-07-04,PPR
Rashee Rice,WR,KC,26.9,3.03,60,16,34,4.3,5,27,943,2026-07-04,PPR
Garrett Wilson,WR,NYJ,26.9,3.03,21,23,32,2.3,13,26,943,2026-07-04,PPR
Trey McBride,TE,ARI,27.4,3.03,83,14,37,5.1,14,28,943,2026-07-04,PPR
Josh Allen,QB,BUF,28.8,3.05,79,14,39,5.4,7,29,943,2026-07-04,PPR
Tee Higgins,WR,CIN,28.9,3.05,15,20,35,4.3,6,30,943,2026-07-04,PPR
DeVonta Smith,WR,PHI,29.0,3.05,71,22,38,3.5,10,31,943,2026-07-04,PPR
Josh Jacobs,RB,GB,29.1,3.05,69,22,36,3.1,11,32,943,2026-07-04,PPR
Breece Hall,RB,NYJ,29.3,3.05,54,19,39,4.3,13,33,943,2026-07-04,PPR
Tetairoa McMillan,WR,CAR,32.1,3.08,54,22,38,4.2,5,34,943,2026-07-04,PPR
Kyren Williams,RB,LAR,32.7,3.09,64,22,42,4.1,11,35,943,2026-07-04,PPR
Javonte Williams,RB,DAL,34.1,3.10,60,23,43,5.4,14,36,943,2026-07-04,PPR
Brock Bowers,TE,LV,35.5,3.12,118,18,47,6.5,13,37,943,2026-07-04,PPR
Terry McLaurin,WR,WAS,36.4,3.12,43,26,46,4.1,7,38,943,2026-07-04,PPR
Ladd McConkey,WR,LAC,37.2,4.01,72,24,48,4.8,7,39,943,2026-07-04,PPR
Travis Etienne Jr.,RB,NO,38.5,4.02,63,23,49,6.1,8,40,943,2026-07-04,PPR
Cam Skattebo,RB,NYG,38.6,4.03,33,25,47,5.1,8,41,943,2026-07-04,PPR
Jaylen Waddle,WR,DEN,40.6,4.05,48,27,51,4.9,10,42,943,2026-07-04,PPR
Davante Adams,WR,LAR,41.2,4.05,31,30,51,5.1,11,43,943,2026-07-04,PPR
Malik Nabers,WR,NYG,43.0,4.07,96,30,52,4.8,8,44,943,2026-07-04,PPR
Bucky Irving,RB,TB,43.3,4.07,45,23,54,7.4,10,45,943,2026-07-04,PPR
Emeka Egbuka,WR,TB,46.1,4.10,168,32,60,5.4,10,46,943,2026-07-04,PPR
Joe Burrow,QB,CIN,46.4,4.10,59,23,60,8.9,6,47,943,2026-07-04,PPR
Colston Loveland,TE,CHI,46.5,4.10,43,31,57,6.4,10,48,943,2026-07-04,PPR
Luther Burden III,WR,CHI,46.8,4.11,40,34,59,5.0,10,49,943,2026-07-04,PPR
