gsis_id,player_display_name,position,season,rookie_year,entry_year,draft_number,draft_club,college,height,weight,birth_date,age_at_draft_hint
00-0041027,Jeremiyah Love,RB,2026,2026,2026,3,ARI,Notre Dame,6-0,212.0,,21.0
00-0041438,Carnell Tate,WR,2026,2026,2026,4,TEN,Ohio St.,6-2,192.0,,21.0
00-0041029,Jordyn Tyson,WR,2026,2026,2026,8,NOR,Arizona St.,6-2,203.0,,22.0
00-0041032,Kenyon Sadiq,TE,2026,2026,2026,16,NYJ,Oregon,6-3,241.0,,21.0
00-0040867,Makai Lemon,WR,2026,2026,2026,20,PHI,USC,5-11,192.0,,22.0
00-0041547,KC Concepcion,WR,2026,2026,2026,24,CLE,Texas A&M,6-0,196.0,,21.0
00-0041511,Omar Cooper Jr.,WR,2026,2026,2026,30,NYJ,Indiana,6-0,199.0,,22.0
00-0041512,Jadarian Price,RB,2026,2026,2026,32,SEA,Notre Dame,5-11,203.0,,22.0
00-0041035,De'Zhaun Stribling,WR,2026,2026,2026,33,SFO,Mississippi,,,,23.0
00-0041037,Denzel Boston,WR,2026,2026,2026,39,CLE,Washington,6-4,212.0,,22.0
00-0041489,Germie Bernard,WR,2026,2026,2026,47,PIT,Alabama,6-1,206.0,,22.0
00-0041483,Eli Stowers,TE,2026,2026,2026,54,PHI,Vanderbilt,6-4,239.0,,23.0
00-0041503,Nate Boerkircher,TE,2026,2026,2026,56,JAX,Texas A&M,6-6,245.0,,25.0
00-0041472,Marlin Klein,TE,2026,2026,2026,59,HOU,Michigan,6-6,248.0,,23.0
00-0041510,Max Klare,TE,2026,2026,2026,61,LAR,Ohio St.,6-4,246.0,,23.0
00-0041040,Antonio Williams,WR,2026,2026,2026,71,WAS,Clemson,6-0,187.0,,22.0
00-0041041,Oscar Delp,TE,2026,2026,2026,73,NOR,Georgia,6-5,245.0,,23.0
00-0041042,Malachi Fields,WR,2026,2026,2026,74,NYG,Notre Dame,6-5,218.0,,23.0
