player_id,player_display_name,position,primary_team_2025,teams_2025,games_played_2025,age_2025,years_exp_2025,draft_number,fantasy_points_ppr_2025,fantasy_points_ppr_per_game_2025,targets_2025,receptions_2025,carries_2025,value_score,predicted_2026_fantasy_points_ppr,predicted_2026_games_played,predicted_2026_ppr_per_game,projection_change_from_2025,projection_change_label,prediction_interval_low,prediction_interval_high,prediction_uncertainty,model_disagreement,fantasy_overall_rank,fantasy_position_rank,predicted_2026_overall_percentile,predicted_2026_position_percentile,fantasy_projection_tier,usage_profile,breakout_potential,slump_potential,draft_board_bucket,confidence_score,confidence_level,selected_model,selected_model_label,model_selection_reason,fantasy_note,fantasy_explanation,predicted_p_plays_meaningfully,is_rookie_projection
00-0039075,Puka Nacua,WR,LA,LA,16,24,2,177,375,23.4375,166,129,10,6.05717567075,309.359435176,14.7554354045,18.6847413218,-65.6405648237,Projected regression,229.35605925,389.362811102,62.5026374421,20.3576102415,1,1,1,1,Elite Fantasy Profile,Alpha WR target volume,Low,High,Regression Watch,43.1,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 309.4 PPR points vs 375.0 in 2025 (-65.6). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.8 projected games at 18.7 PPR/game. Reasonable model range: 229-389 PPR.,,False
00-0039851,Drake Maye,QB,NE,NE,17,23,1,3,351.96,20.7035294118,1,1,103,3.04598275684,304.494317125,12.991635517,20.8735496978,-47.465682875,Projected regression,223.780563671,385.208070579,63.057619886,22.0026369606,2,1,0.998269896194,1,Elite Fantasy Profile,QB with meaningful rushing volume,Low,Medium,Elite Upside,38.3,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 304.5 PPR points vs 352.0 in 2025 (-47.5). Usage: QB with meaningful rushing volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 13.0 projected games at 20.9 PPR/game. Reasonable model range: 224-385 PPR.,,False
00-0038543,Jaxon Smith-Njigba,WR,SEA,SEA,17,23,2,20,359.9,21.1705882353,163,119,7,4.23976047752,300.227798481,14.5577928932,18.5242770218,-59.6722015192,Projected regression,215.709639027,384.745957935,66.0298120734,29.4582533424,3,2,0.996539792388,0.995850622407,Elite Fantasy Profile,Alpha WR target volume,Low,Medium,Elite Upside,43.4,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 300.2 PPR points vs 359.9 in 2025 (-59.7). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.6 projected games at 18.5 PPR/game. Reasonable model range: 216-385 PPR.,,False
00-0038542,Bijan Robinson,RB,ATL,ATL,17,23,2,8,370.8,21.8117647059,103,79,287,1.59509738703,299.125182964,12.7857124924,19.7198985704,-71.6748170356,Projected regression,205.200885687,393.049480242,73.3783572483,43.4998381606,4,1,0.994809688581,1,Elite Fantasy Profile,Three-down RB usage,Low,High,Regression Watch,42.7,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 299.1 PPR points vs 370.8 in 2025 (-71.7). Usage: Three-down RB usage. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 12.8 projected games at 19.7 PPR/game. Reasonable model range: 205-393 PPR.,,False
00-0034857,Josh Allen,QB,BUF,BUF,16,29,7,7,364.62,22.78875,0,0,112,1.79268545415,297.48066347,15.4721685223,21.6919887696,-67.1393365297,Projected regression,217.495979488,377.465347452,62.488034361,20.3127311269,5,2,0.993079584775,0.985294117647,Elite Fantasy Profile,QB with meaningful rushing volume,Low,High,Regression Watch,55.7,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 297.5 PPR points vs 364.6 in 2025 (-67.1). Usage: QB with meaningful rushing volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 15.5 projected games at 21.7 PPR/game. Reasonable model range: 217-377 PPR.,,False
00-0036900,Ja'Marr Chase,WR,CIN,CIN,16,25,4,5,313.6,19.6,185,125,3,1.63291958898,282.231383012,14.1319711446,17.2337080143,-31.3686169879,Projected regression,198.95503244,365.507733584,65.0596488846,27.2141602943,6,3,0.991349480969,0.991701244813,Elite Fantasy Profile,Alpha WR target volume,Low,Medium,Core Starter,54.2,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 282.2 PPR points vs 313.6 in 2025 (-31.4). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.1 projected games at 17.2 PPR/game. Reasonable model range: 199-366 PPR.,,False
00-0039139,Jahmyr Gibbs,RB,DET,DET,17,23,2,12,366.9,21.5823529412,94,77,243,1.65897382551,280.738719951,12.5325656253,17.685424924,-86.1612800486,Projected regression,195.661848947,365.815590956,66.4663054722,30.4240426416,7,2,0.989619377163,0.992805755396,Elite Fantasy Profile,Three-down RB usage,Low,High,Regression Watch,43.2,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 280.7 PPR points vs 366.9 in 2025 (-86.2). Usage: Three-down RB usage. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 12.5 projected games at 17.7 PPR/game. Reasonable model range: 196-366 PPR.,,False
00-0033280,Christian McCaffrey,RB,SF,SF,17,29,8,8,416.6,24.5058823529,129,102,311,1.90629848872,268.921501629,11.1666659361,15.9067194378,-147.678498371,Projected regression,168.394518085,369.448485172,78.5367058935,51.728780965,8,3,0.987889273356,0.985611510791,Elite Fantasy Profile,Three-down RB usage,Low,High,Regression Watch,55.1,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 268.9 PPR points vs 416.6 in 2025 (-147.7). Usage: Three-down RB usage. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 11.2 projected games at 15.9 PPR/game. Reasonable model range: 168-369 PPR.,,False
00-0036963,Amon-Ra St. Brown,WR,DET,DET,17,26,4,112,324,19.0588235294,172,117,3,2.40990660281,266.122110541,14.1530102122,16.8343769563,-57.8778894587,Projected regression,188.694482475,343.549738608,60.490334427,12.9202618636,9,4,0.98615916955,0.98755186722,Elite Fantasy Profile,Alpha WR target volume,Low,Medium,Core Starter,62,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 266.1 PPR points vs 324.0 in 2025 (-57.9). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.2 projected games at 16.8 PPR/game. Reasonable model range: 189-344 PPR.,,False
00-0039732,Bo Nix,QB,DEN,DEN,17,25,1,12,304.84,17.9317647059,1,0,83,1.06723649558,265.92210315,15.4511252472,19.1780562385,-38.9178968503,Projected regression,188.372723226,343.471483074,60.5854530657,13.3585078024,10,3,0.984429065744,0.970588235294,Elite Fantasy Profile,QB with meaningful rushing volume,Low,Medium,Elite Upside,42.9,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 265.9 PPR points vs 304.8 in 2025 (-38.9). Usage: QB with meaningful rushing volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 15.5 projected games at 19.2 PPR/game. Reasonable model range: 188-343 PPR.,,False
