player_id,player_display_name,position,primary_team_2025,teams_2025,games_played_2025,age_2025,years_exp_2025,draft_number,fantasy_points_ppr_2025,fantasy_points_ppr_per_game_2025,targets_2025,receptions_2025,carries_2025,value_score,predicted_2026_fantasy_points_ppr,predicted_2026_games_played,predicted_2026_ppr_per_game,projection_change_from_2025,projection_change_label,prediction_interval_low,prediction_interval_high,prediction_uncertainty,model_disagreement,fantasy_overall_rank,fantasy_position_rank,predicted_2026_overall_percentile,predicted_2026_position_percentile,fantasy_projection_tier,usage_profile,breakout_potential,slump_potential,draft_board_bucket,confidence_score,confidence_level,selected_model,selected_model_label,model_selection_reason,fantasy_note,fantasy_explanation
00-0039075,Puka Nacua,WR,LA,LA,16,24,2,177,375,23.4375,166,129,10,6.05717567075,309.359435176,14.7534227609,18.8333353203,-65.6405648237,Projected regression,229.225274419,389.493595933,62.6048130915,20.6691855125,1,1,1,1,Elite Fantasy Profile,Alpha WR target volume,Low,High,Regression Watch,43.6,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 309.4 PPR points vs 375.0 in 2025 (-65.6). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.8 projected games at 18.8 PPR/game. Reasonable model range: 229-389 PPR.
00-0039851,Drake Maye,QB,NE,NE,17,23,1,3,351.96,20.7035294118,1,1,103,3.04598275684,304.494317125,13.6385974325,20.8865027953,-47.465682875,Projected regression,225.017396357,383.971237893,62.0913443504,19.0574828025,2,1,0.99801980198,1,Elite Fantasy Profile,QB with meaningful rushing volume,Low,Medium,Elite Upside,40.3,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 304.5 PPR points vs 352.0 in 2025 (-47.5). Usage: QB with meaningful rushing volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 13.6 projected games at 20.9 PPR/game. Reasonable model range: 225-384 PPR.
00-0038543,Jaxon Smith-Njigba,WR,SEA,SEA,17,23,2,20,359.9,21.1705882353,163,119,7,4.23976047752,300.227798481,14.2758553086,18.5844817513,-59.6722015192,Projected regression,216.126905876,384.328691086,65.7038223475,28.7201127888,3,2,0.99603960396,0.995145631068,Elite Fantasy Profile,Alpha WR target volume,Low,Medium,Elite Upside,43.3,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 300.2 PPR points vs 359.9 in 2025 (-59.7). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.3 projected games at 18.6 PPR/game. Reasonable model range: 216-384 PPR.
00-0038542,Bijan Robinson,RB,ATL,ATL,17,23,2,8,370.8,21.8117647059,103,79,287,1.59509738703,299.125182964,13.4551055571,19.913036445,-71.6748170356,Projected regression,208.842730783,389.407635146,70.533165767,38.5068835489,4,1,0.994059405941,1,Elite Fantasy Profile,Three-down RB usage,Low,High,Regression Watch,42.9,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 299.1 PPR points vs 370.8 in 2025 (-71.7). Usage: Three-down RB usage. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 13.5 projected games at 19.9 PPR/game. Reasonable model range: 209-389 PPR.
00-0034857,Josh Allen,QB,BUF,BUF,16,29,7,7,364.62,22.78875,0,0,112,1.79268545415,297.48066347,15.3321494852,21.7520551067,-67.1393365297,Projected regression,217.558023687,377.403303253,62.4395623306,20.1631235569,5,2,0.992079207921,0.983870967742,Elite Fantasy Profile,QB with meaningful rushing volume,Low,High,Regression Watch,56.7,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 297.5 PPR points vs 364.6 in 2025 (-67.1). Usage: QB with meaningful rushing volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 15.3 projected games at 21.8 PPR/game. Reasonable model range: 218-377 PPR.
00-0036900,Ja'Marr Chase,WR,CIN,CIN,16,25,4,5,313.6,19.6,185,125,3,1.63291958898,282.231383012,13.7353769546,17.6535190705,-31.3686169879,Projected regression,201.062297385,363.400468639,63.4133481459,23.0022896819,6,3,0.990099009901,0.990291262136,Elite Fantasy Profile,Alpha WR target volume,Low,Medium,Core Starter,55.2,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 282.2 PPR points vs 313.6 in 2025 (-31.4). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 13.7 projected games at 17.7 PPR/game. Reasonable model range: 201-363 PPR.
00-0039139,Jahmyr Gibbs,RB,DET,DET,17,23,2,12,366.9,21.5823529412,94,77,243,1.65897382551,280.738719951,13.0550459159,18.4914041018,-86.1612800486,Projected regression,192.554663968,368.922775935,68.8937937371,35.4147910204,7,2,0.988118811881,0.992125984252,Elite Fantasy Profile,Three-down RB usage,Low,High,Regression Watch,42.9,Low,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 280.7 PPR points vs 366.9 in 2025 (-86.2). Usage: Three-down RB usage. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 13.1 projected games at 18.5 PPR/game. Reasonable model range: 193-369 PPR.
00-0033280,Christian McCaffrey,RB,SF,SF,17,29,8,8,416.6,24.5058823529,129,102,311,1.90629848872,268.921501629,10.9028419911,15.0545640051,-147.678498371,Projected regression,166.477642744,371.365360513,80.0342647539,53.9753290145,8,3,0.986138613861,0.984251968504,Elite Fantasy Profile,Three-down RB usage,Low,High,Regression Watch,55,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 268.9 PPR points vs 416.6 in 2025 (-147.7). Usage: Three-down RB usage. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 10.9 projected games at 15.1 PPR/game. Reasonable model range: 166-371 PPR.
00-0036963,Amon-Ra St. Brown,WR,DET,DET,17,26,4,112,324,19.0588235294,172,117,3,2.40990660281,266.122110541,14.0034385518,16.9482851349,-57.8778894587,Projected regression,188.701798073,343.54242301,60.4846191161,12.8934773104,9,4,0.984158415842,0.985436893204,Elite Fantasy Profile,Alpha WR target volume,Low,Medium,Core Starter,63.5,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 266.1 PPR points vs 324.0 in 2025 (-57.9). Usage: Alpha WR target volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.0 projected games at 16.9 PPR/game. Reasonable model range: 189-344 PPR.
00-0039732,Bo Nix,QB,DEN,DEN,17,25,1,12,304.84,17.9317647059,1,0,83,1.06723649558,265.92210315,14.8575810745,19.1147874765,-38.9178968503,Projected regression,189.278266145,342.565940154,59.8779976596,9.65542392927,10,3,0.982178217822,0.967741935484,Elite Fantasy Profile,QB with meaningful rushing volume,Low,Medium,Core Starter,50.2,Medium,elastic_net_total,Elastic Net Total-PPR Model,lowest_overall_rolling_rmse,high 2025 fantasy production; wide projection range,Projects 265.9 PPR points vs 304.8 in 2025 (-38.9). Usage: QB with meaningful rushing volume. Tier: Elite Fantasy Profile. Model: Elastic Net Total-PPR Model. Two-stage context: 14.9 projected games at 19.1 PPR/game. Reasonable model range: 189-343 PPR.
