player_id,player_display_name,position,rookie_year,draft_number,draft_club,college,predicted_p_plays_meaningfully,predicted_ppr_per_game_if_plays_mean,predicted_games_played,predicted_season_ppr_mean,predicted_season_ppr_p10,predicted_season_ppr_p25,predicted_season_ppr_p75,predicted_season_ppr_p90
00-0041027,Jeremiyah Love,RB,2026,3,ARI,Notre Dame,0.999999600925,19.0144417727,10.8143416758,205.62866956,148.30402008,175.664841003,236.204342298,263.585099387
00-0041438,Carnell Tate,WR,2026,4,TEN,Ohio St.,0.999999876822,14.1723885763,11.0981581421,157.288471851,107.395604257,130.999971798,183.913457557,209.321127713
00-0041029,Jordyn Tyson,WR,2026,8,NOR,Arizona St.,0.99999777299,12.0643232274,11.0981347935,133.897997425,84.2863096225,106.777143754,161.051602987,184.414741924
00-0041512,Jadarian Price,RB,2026,32,SEA,Notre Dame,0.999343403548,11.55863633,10.8072453304,124.930840137,68.280687432,95.6194028325,154.156152879,179.844697597
00-0041547,KC Concepcion,WR,2026,24,CLE,Texas A&M,0.999937923635,9.80931339075,11.0974705758,108.895322871,58.0089708467,81.8690673722,135.384193036,160.080123304
00-0040867,Makai Lemon,WR,2026,20,PHI,USC,0.999950293322,9.57220204324,11.0976078566,106.296913857,55.0561033212,79.8986758834,133.154794984,156.887859447
00-0041037,Denzel Boston,WR,2026,39,CLE,Washington,0.999131439248,9.05731724801,11.0885200834,100.531696844,49.7674861112,73.8886251878,127.450828272,150.983996298
00-0041511,Omar Cooper Jr.,WR,2026,30,NYJ,Indiana,0.999763137612,8.85927233974,11.0955307726,98.3339262095,44.9357077781,70.60762073,125.56004163,151.037469553
00-0041032,Kenyon Sadiq,TE,2026,16,NYJ,Oregon,0.999866541034,9.43013207348,10.1357438877,95.5822943892,62.4275904175,78.0474164652,112.64213147,129.073943668
00-0041035,De'Zhaun Stribling,WR,2026,33,SFO,Mississippi,0.999482267819,8.23758106145,11.0924136349,91.486678846,41.0392269075,65.4874935236,117.172114853,141.732108785
00-0041489,Germie Bernard,WR,2026,47,PIT,Alabama,0.998591000337,7.99996524435,11.0825222062,88.8350787839,37.7480951696,61.5645462342,115.583534971,138.955317027
00-0041523,Caleb Douglas,WR,2026,75,MIA,Texas Tech,0.987836105934,7.5433852032,10.9631626726,82.9312540452,32.9008716083,56.2867332536,109.289309333,131.309112946
00-0041047,Chris Brazzell II,WR,2026,83,CAR,Tennessee,0.980473916249,7.44207328997,10.8814559171,81.2453842104,31.8094908727,54.2493855198,106.921117841,130.901244283
00-0040870,Ja'Kobi Lane,WR,2026,80,BAL,USC,0.981879748472,7.40355679454,10.8970580674,81.0135120169,30.8747999237,54.3798632233,107.279556359,131.204563141
00-0041040,Antonio Williams,WR,2026,71,WAS,Clemson,0.993806368252,7.19523755478,11.0294215961,79.6633396816,29.2091611426,51.8195974761,106.253826169,129.647833408
00-0041496,Jonah Coleman,RB,2026,108,DEN,Washington,0.962916813273,7.59173378731,10.4133155798,79.5963035994,24.357937373,50.2945214293,108.190528377,132.425825043
00-0041048,Ted Hurst,WR,2026,84,TAM,Georgia St.,0.979008369467,7.27585203286,10.8651910452,79.3127179036,29.6419276814,53.2340531322,105.055827918,128.782217864
