trial_number,state,mean_rmse,mean_mae,mean_r2,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split
0,TrialState.COMPLETE,0.923104621236,0.672709941221,0.23284680564,250,12,0.35,27,40
1,TrialState.COMPLETE,0.928549991938,0.689118941373,0.223758150668,350,4,0.35,12,35
2,TrialState.COMPLETE,0.92552286035,0.679326606508,0.228819845509,300,6,0.35,25,20
3,TrialState.COMPLETE,0.925248592485,0.676792664373,0.229275188816,300,9,sqrt,30,50
4,TrialState.COMPLETE,0.930966214633,0.688849845249,0.219719566398,250,4,0.35,28,20
5,TrialState.COMPLETE,0.926493669969,0.677332789836,0.22720274393,350,6,0.8,29,55
6,TrialState.COMPLETE,0.921540657006,0.672596257207,0.23540592643,350,12,sqrt,12,55
7,TrialState.COMPLETE,0.925749078523,0.680608186049,0.228441465255,250,6,sqrt,25,20
8,TrialState.COMPLETE,0.921256712852,0.672519485546,0.235815358027,150,11,0.65,8,55
9,TrialState.COMPLETE,0.926521207977,0.677375146545,0.227152999731,350,6,0.8,28,35
10,TrialState.COMPLETE,0.92166025121,0.672038787722,0.235137808503,150,10,0.65,5,60
11,TrialState.COMPLETE,0.922178376642,0.672742357377,0.234282546589,450,12,0.5,11,45
12,TrialState.COMPLETE,0.922224268409,0.67214396266,0.234214956909,150,11,0.65,12,60
13,TrialState.COMPLETE,0.92309253566,0.673079110076,0.23275325692,450,10,0.65,6,50
14,TrialState.COMPLETE,0.923148943682,0.675405456937,0.232757782527,200,8,sqrt,17,10
15,TrialState.COMPLETE,0.922514339458,0.671591562936,0.233776610331,400,11,0.5,17,45
16,TrialState.COMPLETE,0.921685331113,0.67355078603,0.235117581652,200,8,0.65,9,55
17,TrialState.COMPLETE,0.920735708633,0.672814882013,0.236726997111,400,12,sqrt,14,30
18,TrialState.COMPLETE,0.922465826954,0.674281696734,0.233878571881,400,10,sqrt,20,30
19,TrialState.COMPLETE,0.923678120517,0.672719823409,0.231776776043,400,11,0.65,15,30
