transformed_feature,raw_feature,feature_group,mean_abs_shap,mean_shap
value_epa_total,value_epa_total,current_season_production,0.110806049476,0.00597559773461
value_epa_per_game,value_epa_per_game,current_season_production,0.0937896263718,0.00563269353066
value_score_last3_avg,value_score_last3_avg,player_history,0.0538696235765,0.000658760866694
value_score_last2_avg,value_score_last2_avg,player_history,0.0487612646615,-0.000829692835618
yards_per_game,yards_per_game,current_season_production,0.039155743512,-0.00346387971604
value_epa_total_prev,value_epa_total_prev,player_history,0.0273990693785,-0.00121555904861
games_played,games_played,current_season_production,0.0270537963743,0.00416834382703
value_score_prev,value_score_prev,player_history,0.0253035109018,-0.00294584866215
tds_per_game,tds_per_game,current_season_production,0.0197220953251,0.000380092727034
years_exp,years_exp,player_profile,0.0188056023823,0.000231855886094
age,age,player_profile,0.0183472853742,0.000440221036575
value_epa_per_game_prev,value_epa_per_game_prev,player_history,0.0167213370596,-0.00277299041494
position_RB,position,position_indicator,0.0163350969963,-0.00170965839157
yards_per_game_prev,yards_per_game_prev,player_history,0.0130307305295,0.000209191801764
position_WR,position,position_indicator,0.0126314836666,0.000428441367029
draft_number,draft_number,player_profile,0.0112389596029,0.00137596056389
games_played_last3_avg,games_played_last3_avg,player_history,0.00860538271258,0.00245248605688
position_TE,position,position_indicator,0.00806327070781,0.00112109147585
prior_qualifying_seasons,prior_qualifying_seasons,player_history,0.00689226951803,-0.00311617569467
value_score_trend_2yr,value_score_trend_2yr,player_history,0.00666342086895,-0.000173192592764
games_played_prev,games_played_prev,player_history,0.00475339841016,0.00130655060452
tds_per_game_prev,tds_per_game_prev,player_history,0.00429746330562,0.00184627240774
games_played_last2_sum,games_played_last2_sum,player_history,0.00338100268117,0.000871980592037
position_QB,position,position_indicator,0.00188392539434,0.000253865532759
