event_id,player_id,player_display_name,position,pre_period_games,pre_period_avg_targets,pre_period_avg_ppr
2016_ARI_W06,00-0022921,Larry Fitzgerald,WR,4,9.25,17.375
2016_ARI_W06,00-0029638,Michael Floyd,WR,4,6.75,7.975
2016_ARI_W06,00-0030300,Jaron Brown,WR,4,3.75,6.35
2016_ARI_W06,00-0031051,John Brown,WR,4,8.75,10.475
2017_ARI_W09,00-0022921,Larry Fitzgerald,WR,3,8,14.9333333333
2017_ARI_W09,00-0030300,Jaron Brown,WR,3,4,5.53333333333
2017_ARI_W09,00-0031051,John Brown,WR,3,5,9.16666666667
2017_ARI_W09,00-0032112,J.J. Nelson,WR,3,4,6.3
2017_ARI_W11,00-0022921,Larry Fitzgerald,WR,3,8.66666666667,13.0666666667
2017_ARI_W11,00-0029336,Brittan Golden,WR,1,3,5
2017_ARI_W11,00-0030300,Jaron Brown,WR,3,4,5.43333333333
2017_ARI_W11,00-0031051,John Brown,WR,3,4.66666666667,4.16666666667
2017_ARI_W11,00-0032112,J.J. Nelson,WR,3,3.66666666667,3.7
2017_ARI_W16,00-0022921,Larry Fitzgerald,WR,4,8.75,13.1
2017_ARI_W16,00-0032112,J.J. Nelson,WR,4,4.5,4.875
2021_ARI_W09,00-0027942,A.J. Green,WR,4,4.75,10.2
2021_ARI_W09,00-0030564,DeAndre Hopkins,WR,4,6,17.025
2021_ARI_W09,00-0034775,Christian Kirk,WR,4,6,13.025
2021_ARI_W09,00-0035126,Antoine Wesley,WR,1,3,1.7
2021_ARI_W09,00-0036936,Rondale Moore,WR,4,4.25,7.375
2021_ARI_W13,00-0027942,A.J. Green,WR,2,6,6.6
2021_ARI_W13,00-0034775,Christian Kirk,WR,3,6.33333333333,11.24
2021_ARI_W13,00-0036936,Rondale Moore,WR,3,6.66666666667,8.9
2022_ARI_W10,00-0030564,DeAndre Hopkins,WR,3,10.6666666667,22.6
2022_ARI_W10,00-0035662,Marquise Brown,WR,1,9,11.8
2022_ARI_W10,00-0036936,Rondale Moore,WR,4,7.5,13.325
2022_ARI_W14,00-0027942,A.J. Green,WR,3,4.33333333333,6.83333333333
2022_ARI_W14,00-0030564,DeAndre Hopkins,WR,3,10.6666666667,18.8666666667
2022_ARI_W14,00-0032688,Robbie Chosen,WR,1,3,2.7
2022_ARI_W14,00-0035500,Greg Dortch,WR,2,5,9.65
2022_ARI_W14,00-0035662,Marquise Brown,WR,1,8,10.6
2022_ARI_W14,00-0036936,Rondale Moore,WR,2,6.5,8.9
2022_ARI_W17,00-0030564,DeAndre Hopkins,WR,3,10.6666666667,9.1
2022_ARI_W17,00-0032688,Robbie Chosen,WR,2,3,4.5
2022_ARI_W17,00-0035500,Greg Dortch,WR,3,3.66666666667,7.43333333333
2022_ARI_W17,00-0035662,Marquise Brown,WR,3,7.33333333333,7.36666666667
2023_ARI_W10,00-0035662,Marquise Brown,WR,4,8.75,9.25
2023_ARI_W10,00-0036936,Rondale Moore,WR,4,4,4.275
2023_ARI_W10,00-0038559,Michael Wilson,WR,3,5,8.2
2025_ARI_W06,00-0033891,Zay Jones,WR,2,3,3.65
2025_ARI_W06,00-0038559,Michael Wilson,WR,4,3.5,4.425
2025_ARI_W06,00-0039849,Marvin Harrison Jr.,WR,4,6.5,11.125
2019_ATL_W10,00-0027944,Julio Jones,WR,3,10,19.7666666667
2019_ATL_W10,00-0029632,Mohamed Sanu,WR,2,3,3.6
2019_ATL_W10,00-0034411,Russell Gage,WR,3,4,5.56666666667
2019_ATL_W10,00-0034837,Calvin Ridley,WR,3,6.33333333333,11.6
2022_ATL_W15,00-0035208,Olamide Zaccheaus,WR,3,5,6.86666666667
2022_ATL_W15,00-0037238,Drake London,WR,3,6.33333333333,9.2
2023_ATL_W12,00-0033555,Mack Hollins,WR,2,3,5.65
2023_ATL_W12,00-0034854,KhaDarel Hodge,WR,2,4.5,9.75
2023_ATL_W12,00-0036415,Van Jefferson,WR,3,3.33333333333,2.6
2023_ATL_W12,00-0037238,Drake London,WR,2,5.5,8.55
2024_ATL_W16,00-0034407,Ray-Ray McCloud,WR,3,6.66666666667,11.2666666667
2024_ATL_W16,00-0036309,Darnell Mooney,WR,3,4.66666666667,8.4
2024_ATL_W16,00-0037238,Drake London,WR,3,9.66666666667,14.5333333333
2025_ATL_W12,00-0036309,Darnell Mooney,WR,4,5.25,3.425
2025_ATL_W12,00-0037238,Drake London,WR,3,10.3333333333,27.3666666667
2018_BAL_W11,00-0026986,Michael Crabtree,WR,3,7,7.96666666667
