event_id,n_control_players_unmatched,n_control_obs_unmatched,n_control_players_matched,n_control_obs_matched,retention_rate
2016_ARI_W06,70,481,31,218,0.442857142857
2016_CAR_W06,70,481,30,211,0.428571428571
2016_CHI_W03,72,385,25,137,0.347222222222
2016_CHI_W12,68,463,27,183,0.397058823529
2016_CLE_W03,72,385,23,119,0.319444444444
2016_CLE_W11,72,481,29,188,0.402777777778
2016_CLE_W14,59,415,17,122,0.28813559322
2016_DEN_W14,59,415,24,172,0.406779661017
2016_IND_W13,62,435,23,167,0.370967741935
2016_LA_W11,72,481,27,177,0.375
2016_MIA_W15,65,403,24,154,0.369230769231
2016_MIN_W02,71,318,20,90,0.281690140845
2016_NE_W03,72,385,27,147,0.375
2016_NE_W05,73,505,31,212,0.424657534247
2016_SF_W14,59,415,20,130,0.338983050847
2016_TEN_W16,65,352,30,158,0.461538461538
2017_ARI_W09,61,384,24,156,0.393442622951
2017_ARI_W11,71,449,32,202,0.450704225352
2017_ARI_W16,46,260,25,142,0.54347826087
2017_BUF_W15,47,301,20,121,0.425531914894
2017_CHI_W05,65,444,32,217,0.492307692308
2017_GB_W16,46,260,24,136,0.521739130435
2017_HOU_W09,61,384,13,88,0.213114754098
2017_HOU_W14,50,354,18,128,0.36
2017_IND_W02,66,304,22,103,0.333333333333
2017_LV_W06,59,405,33,226,0.559322033898
2017_MIA_W13,58,391,23,159,0.396551724138
2017_MIN_W02,66,304,2,10,0.030303030303
2017_NYG_W14,50,354,24,172,0.48
2017_NYJ_W15,47,301,8,55,0.170212765957
2017_PHI_W15,47,301,15,99,0.31914893617
2017_SF_W06,59,405,34,231,0.576271186441
2017_TB_W09,61,384,20,133,0.327868852459
2017_TB_W13,58,391,23,160,0.396551724138
2017_TEN_W06,59,405,33,226,0.559322033898
2018_BAL_W11,58,367,26,170,0.448275862069
2018_BUF_W07,79,503,22,139,0.278481012658
2018_BUF_W12,55,359,23,148,0.418181818182
2018_CHI_W12,55,359,19,122,0.345454545455
2018_CHI_W14,48,330,14,92,0.291666666667
2018_CIN_W12,55,359,12,82,0.218181818182
2018_CLE_W03,70,372,24,133,0.342857142857
2018_MIA_W06,76,497,28,180,0.368421052632
2018_MIA_W12,55,359,19,123,0.345454545455
2018_NYJ_W10,61,381,23,137,0.377049180328
2018_PHI_W15,57,361,26,166,0.456140350877
2018_SF_W04,66,405,16,95,0.242424242424
2018_SF_W09,63,395,27,160,0.428571428571
2018_TB_W12,55,359,15,98,0.272727272727
2018_WAS_W14,48,330,18,129,0.375
2019_ATL_W10,62,381,20,121,0.322580645161
2019_CAR_W03,69,357,23,123,0.333333333333
2019_CHI_W07,58,364,15,96,0.258620689655
2019_CIN_W13,64,427,28,175,0.4375
2019_DEN_W09,53,318,13,85,0.245283018868
2019_DEN_W13,64,427,18,120,0.28125
2019_DET_W10,62,381,10,61,0.161290322581
2019_DET_W13,64,427,17,120,0.265625
2019_IND_W11,62,400,24,152,0.387096774194
2019_JAX_W13,64,427,18,120,0.28125
2019_KC_W10,62,381,24,148,0.387096774194
2019_NO_W08,52,327,13,85,0.25
2019_NYG_W14,55,374,11,79,0.2
2019_NYG_W16,53,287,12,70,0.22641509434
2019_NYJ_W02,62,278,16,78,0.258064516129
2019_NYJ_W06,58,373,17,105,0.293103448276
2019_TEN_W07,58,364,21,133,0.362068965517
2019_WAS_W06,58,373,22,143,0.379310344828
2019_WAS_W09,53,318,22,128,0.415094339623
2020_BAL_W13,53,361,22,152,0.415094339623
2020_CAR_W12,66,433,29,199,0.439393939394
2020_CHI_W12,66,433,32,207,0.484848484848
2020_CIN_W12,66,433,28,185,0.424242424242
2020_CIN_W16,49,264,18,98,0.367346938776
2020_DAL_W06,73,464,18,117,0.246575342466
2020_DAL_W11,62,419,29,186,0.467741935484
2020_DEN_W06,73,464,34,208,0.465753424658
2020_JAX_W09,68,440,29,190,0.426470588235
2020_JAX_W12,66,433,28,185,0.424242424242
2020_JAX_W16,49,264,22,117,0.448979591837
2020_LV_W16,49,264,20,109,0.408163265306
2020_MIA_W13,53,361,22,153,0.415094339623
2020_NE_W06,73,464,27,180,0.369863013699
2020_NYG_W16,49,264,16,86,0.326530612245
2020_NYJ_W05,73,477,36,234,0.493150684932
2020_NYJ_W09,68,440,27,177,0.397058823529
2020_NYJ_W12,66,433,22,140,0.333333333333
2020_PHI_W14,41,281,10,67,0.243902439024
2020_SF_W03,71,366,22,111,0.30985915493
2020_SF_W08,72,455,28,179,0.388888888889
2020_SF_W16,49,264,15,77,0.30612244898
2020_WAS_W09,68,440,30,197,0.441176470588
2020_WAS_W15,44,272,15,85,0.340909090909
2021_ARI_W09,51,339,26,174,0.509803921569
2021_ARI_W13,49,318,25,159,0.510204081633
2021_BAL_W14,46,305,19,124,0.413043478261
2021_BAL_W17,55,280,23,124,0.418181818182
2021_CAR_W11,45,288,19,125,0.422222222222
2021_CAR_W16,53,309,22,133,0.415094339623
2021_CHI_W14,46,305,13,88,0.282608695652
2021_CHI_W17,55,280,26,140,0.472727272727
2021_CLE_W16,53,309,23,138,0.433962264151
2021_DAL_W09,51,339,11,74,0.21568627451
2021_DEN_W16,53,309,19,102,0.358490566038
