event_id,team,season,transition_week,prior_qb_id,new_qb_id,cause,post_period_starter_weeks
2016_ARI_W06,ARI,2016,6,00-0025430,00-0021429,presumed_injury,11
2017_ARI_W09,ARI,2017,9,00-0021429,00-0025430,presumed_injury,2
2017_ARI_W11,ARI,2017,11,00-0025430,00-0027948,injury,5
2017_ARI_W16,ARI,2017,16,00-0027948,00-0025430,presumed_injury,2
2021_ARI_W09,ARI,2021,9,00-0035228,00-0027688,injury,3
2021_ARI_W13,ARI,2021,13,00-0027688,00-0035228,presumed_injury,6
2022_ARI_W10,ARI,2022,10,00-0035228,00-0027688,injury,2
2022_ARI_W14,ARI,2022,14,00-0035228,00-0027688,presumed_injury,2
2022_ARI_W17,ARI,2022,17,00-0035146,00-0035040,presumed_injury,2
2023_ARI_W10,ARI,2023,10,00-0038582,00-0035228,presumed_injury,8
2025_ARI_W06,ARI,2025,6,00-0035228,00-0033119,injury,12
2019_ATL_W10,ATL,2019,10,00-0022787,00-0026143,presumed_injury,8
2022_ATL_W15,ATL,2022,15,00-0032268,00-0038122,presumed_injury,4
2023_ATL_W12,ATL,2023,12,00-0031800,00-0038122,injury,4
2024_ATL_W16,ATL,2024,16,00-0029604,00-0039917,presumed_injury,3
2025_ATL_W12,ATL,2025,12,00-0039917,00-0029604,injury_dnp,7
2018_BAL_W11,BAL,2018,11,00-0026158,00-0034796,injury,7
2020_BAL_W13,BAL,2020,13,00-0029665,00-0034796,injury_dnp,5
2021_BAL_W14,BAL,2021,14,00-0034796,00-0035993,presumed_injury,2
2021_BAL_W17,BAL,2021,17,00-0026300,00-0035993,presumed_injury,2
2025_BAL_W05,BAL,2025,5,00-0034796,00-0033662,injury,2
2017_BUF_W15,BUF,2017,15,00-0033958,00-0028118,injury,3
2018_BUF_W07,BUF,2018,7,00-0034857,00-0023645,injury,2
2018_BUF_W12,BUF,2018,12,00-0030533,00-0034857,presumed_injury,6
2016_CAR_W06,CAR,2016,6,00-0023645,00-0027939,presumed_injury,11
2019_CAR_W03,CAR,2019,3,00-0027939,00-0034577,injury,12
2020_CAR_W12,CAR,2020,12,00-0033275,00-0031237,presumed_injury,5
