feature_set,validation_season,feature_count,context_feature_count,train_rows,validation_rows,mae,rmse,r2,spearman_rank_corr,top_quintile_hit_rate,features
baseline,2020,21,0,1313,352,0.6878658089,0.942921410715,0.227193925708,0.466394188946,0.5,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev"
baseline,2021,21,0,1665,360,0.701947647986,0.934268818966,0.228167686428,0.377476445129,0.472972972973,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev"
baseline,2022,21,0,2025,342,0.700164528004,0.919127837543,0.226957543565,0.329281768453,0.5,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev"
baseline,2023,21,0,2367,350,0.673295488256,0.928112460095,0.229438956996,0.442077202408,0.43661971831,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev"
baseline,2024,21,0,2717,369,0.616563815199,0.899014618812,0.239158720108,0.471667029204,0.486842105263,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev"
baseline_plus_usage_context,2020,27,6,1313,352,0.689349234108,0.94598072562,0.222171041427,0.456339261658,0.486111111111,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe"
baseline_plus_usage_context,2021,27,6,1665,360,0.70592070579,0.938627585444,0.220949026116,0.368699756473,0.445945945946,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe"
baseline_plus_usage_context,2022,27,6,2025,342,0.693411022393,0.910201896071,0.241899158343,0.334569992091,0.5,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe"
baseline_plus_usage_context,2023,27,6,2367,350,0.6780391222,0.937163702126,0.2143361678,0.430111249662,0.422535211268,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe"
baseline_plus_usage_context,2024,27,6,2717,369,0.61469146943,0.895643802784,0.244853506144,0.472367902442,0.460526315789,"position, age, years_exp, draft_number, games_played, value_epa_total, value_epa_per_game, yards_per_game, tds_per_game, prior_qualifying_seasons, value_score_prev, value_score_last2_avg, value_score_last3_avg, value_score_trend_2yr, value_epa_total_prev, value_epa_per_game_prev, games_played_prev, games_played_last2_sum, games_played_last3_avg, yards_per_game_prev, tds_per_game_prev, avg_target_share, avg_air_yards_share, avg_wopr, avg_pacr, avg_racr, avg_passing_cpoe"
