feature,feature_group,importance_mean,importance_std
value_epa_total,baseline_current_season,0.0208108893025,0.00798072373804
value_score_last2_avg,baseline_history,0.0100622509091,0.00204282952817
value_score_last3_avg,baseline_history,0.00789789119385,0.00167917414724
position,baseline_categorical,0.00745593494001,0.00102600083867
player_target_share_team,team_context,0.00678924268454,0.00143814560754
value_score_prev,baseline_history,0.0036210177779,0.000940279906475
avg_target_share,usage_context,0.00312596900813,0.00141701620819
age,baseline_current_season,0.00298910067445,0.00138110062821
player_scrimmage_touch_share_team,team_context,0.00288601636969,0.0014408439191
avg_wopr,usage_context,0.00274818897185,0.00107007993582
player_receiving_air_yards_share_team,team_context,0.00252153090832,0.000978861303689
value_epa_per_game,baseline_current_season,0.00205371080277,0.00388568363803
avg_air_yards_share,usage_context,0.0013064344835,0.000886092897991
avg_wind,schedule_context,0.00110246334205,0.000499009370791
avg_racr,usage_context,0.000921723416115,0.000395249054616
years_exp,baseline_current_season,0.000785015088053,0.00100079472634
draft_number,baseline_current_season,0.000626432573262,0.000268146078055
yards_per_game_prev,baseline_history,0.000528038927509,0.000450966388938
games_played_last3_avg,baseline_history,0.000451945336849,0.000397650333329
value_epa_total_prev,baseline_history,0.000414441889455,0.000360946522985
player_qb_play_share_team,team_context,0.000311974161519,0.000295066398735
yards_per_game,baseline_current_season,0.00031160386225,0.000673965419137
value_epa_per_game_prev,baseline_history,0.00027660393485,0.000241890831878
team_offensive_plays,team_context,0.000270311509495,0.000688985180718
games_played,baseline_current_season,0.000233379264889,0.000136160124302
team_pass_attempts,team_context,0.000199824281912,0.00156426264227
prior_qualifying_seasons,baseline_current_season,0.000178883380335,0.00063449785005
grass_game_rate,schedule_context,0.000124474225719,0.000170771835979
outdoor_game_rate,schedule_context,7.89219759337e-05,0.000353006598163
tds_per_game_prev,baseline_history,4.74402124067e-05,0.00017456335181
games_played_last2_sum,baseline_history,4.74126521569e-05,0.000216993944901
team_carries,team_context,4.08569190915e-05,0.000103255116676
avg_pacr,usage_context,3.08730878358e-05,5.08587468601e-05
avg_passing_cpoe,usage_context,2.00854512436e-05,9.35641459249e-05
home_game_rate,schedule_context,1.5735401035e-05,9.09677305575e-05
games_played_prev,baseline_history,8.01482537184e-06,0.000103281056511
dome_or_closed_game_rate,schedule_context,-2.04248601874e-05,0.000312637577356
avg_team_rest,schedule_context,-6.65654675086e-05,0.000151190265252
team_pass_rate_proxy,team_context,-6.81172439684e-05,0.000281866971484
division_game_rate,schedule_context,-0.000134613828818,0.000176684737557
team_targets,team_context,-0.000179687147869,0.000277230808367
team_rushing_epa_per_carry,team_context,-0.000192433165365,0.000266578687639
value_score_trend_2yr,baseline_history,-0.000225709525872,0.000193845605059
avg_rest_advantage,schedule_context,-0.000253720964665,0.00020902520368
avg_temp,schedule_context,-0.000283156594717,0.000543268313763
avg_total_line,schedule_context,-0.000388074761281,0.000642992916679
turf_game_rate,schedule_context,-0.000413919712257,0.000311783285546
tds_per_game,baseline_current_season,-0.00075303484825,0.000469684976075
favorite_game_rate,schedule_context,-0.000933100033875,0.00123253274799
team_passing_epa_per_attempt,team_context,-0.00141635559048,0.000847971545359
team_receiving_epa_per_target,team_context,-0.00170583473303,0.00154356270883
avg_spread_for_team,schedule_context,-0.00175989856236,0.00135673793812
team_total_offense_epa_proxy,team_context,-0.00233672062362,0.000664964098706
player_carry_share_team,team_context,-0.00252092152063,0.000859218244769
