overall_rank,player_id,player_display_name,position,primary_team_2025,predicted_2026_fantasy_points_ppr,prediction_interval_low,prediction_interval_high,replacement_points,vorp,vorp_low,vorp_high,auction_value,adp,adp_formatted,adp_overall_rank,edge_vs_adp,bye,adp_total_drafts,adp_window_end
1,00-0039075,Puka Nacua,WR,LA,309.359435176,229.35605925,389.362811102,133.531210308,175.828224868,95.824848942,255.831600794,101,2.6,1.03,3,2,11,943,2026-07-04
2,00-0038542,Bijan Robinson,RB,ATL,299.125182964,205.200885687,393.049480242,128.207979266,170.917203698,76.992906421,264.841500976,98,1.5,1.02,1,-1,11,943,2026-07-04
3,00-0038543,Jaxon Smith-Njigba,WR,SEA,300.227798481,215.709639027,384.745957935,133.531210308,166.696588173,82.178428719,251.214747627,96,5.9,1.06,6,3,11,943,2026-07-04
4,00-0039139,Jahmyr Gibbs,RB,DET,280.738719951,195.661848947,365.815590956,128.207979266,152.530740685,67.453869681,237.60761169,88,1.9,1.02,2,-2,6,943,2026-07-04
5,00-0036900,Ja'Marr Chase,WR,CIN,282.231383012,198.95503244,365.507733584,133.531210308,148.700172704,65.423822132,231.976523276,86,3.7,1.04,4,-1,6,943,2026-07-04
6,00-0033280,Christian McCaffrey,RB,SF,268.921501629,168.394518085,369.448485172,128.207979266,140.713522363,40.186538819,241.240505906,81,4.9,1.05,5,-1,8,943,2026-07-04
7,00-0036963,Amon-Ra St. Brown,WR,DET,266.122110541,188.694482475,343.549738608,133.531210308,132.590900233,55.163272167,210.0185283,77,7.2,1.07,7,0,6,943,2026-07-04
8,00-0039040,De'Von Achane,RB,MIA,256.844610026,179.96110158,333.728118473,128.207979266,128.63663076,51.753122314,205.520139207,74,9.4,1.09,9,1,6,943,2026-07-04
9,00-0037744,Trey McBride,TE,ARI,253.084877798,171.131309088,335.038446509,128.111253946,124.973623852,43.020055142,206.927192563,72,27.4,3.03,28,19,14,943,2026-07-04
10,00-0036223,Jonathan Taylor,RB,IND,243.580348629,165.638633407,321.522063851,128.207979266,115.372369363,37.430654141,193.314084585,67,7.4,1.07,8,-2,13,943,2026-07-04
11,00-0037248,James Cook,RB,BUF,239.723405454,160.715901611,318.730909297,128.207979266,111.515426188,32.507922345,190.522930031,65,13.9,2.02,14,3,7,943,2026-07-04
12,00-0037247,George Pickens,WR,DAL,240.144393896,163.336894961,316.951892832,133.531210308,106.613183588,29.805684653,183.420682524,62,16.7,2.05,19,7,14,943,2026-07-04
13,00-0039851,Drake Maye,QB,NE,304.494317125,223.780563671,385.208070579,227.064343853,77.429973272,-3.283780182,158.143726726,45,63.2,6.03,65,52,11,943,2026-07-04
14,00-0039064,Zay Flowers,WR,BAL,205.654751869,127.296430806,284.013072932,133.531210308,72.123541561,-6.234779502,150.481862624,42,26.4,3.02,25,11,13,943,2026-07-04
15,00-0032764,Derrick Henry,RB,BAL,198.854090777,123.04502507,274.663156484,128.207979266,70.646111511,-5.162954196,146.455177218,41,15.7,2.04,17,2,13,943,2026-07-04
16,00-0034857,Josh Allen,QB,BUF,297.48066347,217.495979488,377.465347452,227.064343853,70.416319617,-9.568364365,150.401003599,41,28.8,3.05,29,13,7,943,2026-07-04
17,00-0036358,CeeDee Lamb,WR,DAL,203.882838937,127.163281805,280.602396068,133.531210308,70.351628629,-6.367928503,147.07118576,41,10.6,1.11,11,-6,14,943,2026-07-04
18,00-0037840,Kyren Williams,RB,LA,195.82680647,119.674987353,271.978625587,128.207979266,67.618827204,-8.532991913,143.770646321,40,32.7,3.09,35,17,11,943,2026-07-04
