validation_rows,mean_actual_next_fantasy_points_ppr,mean_predicted_next_fantasy_points_ppr,bias,mae,rmse,r2,spearman_rank_corr,top_rank_hit_rate,segment,segment_value,model_name,model_label,model_type
2414,77.5290140845,78.1807017505,-0.651687665959,41.5970943868,59.0943939174,0.587735368283,0.722042302663,0.614583333333,overall,all,elastic_net_total,Elastic Net Total-PPR Model,direct_total_points
2414,77.5290140845,78.1690452152,-0.640031130698,41.5731922486,59.1113213334,0.587499150465,0.721591089946,0.610416666667,overall,all,ridge_total,Ridge Total-PPR Model,direct_total_points
2414,77.5290140845,77.7613224645,-0.232308380004,42.1704095125,59.6082590124,0.580534364213,0.710703718242,0.597916666667,overall,all,random_forest_total,Random Forest Total-PPR Model,direct_total_points
2414,77.5290140845,74.6794496202,2.84956446432,41.9204788137,60.2177253265,0.571912836579,0.707025296589,0.566666666667,overall,all,two_stage_hist_gradient_boosting,Two-Stage HGB: Games x PPR/Game,two_stage_games_x_rate
2414,77.5290140845,79.051328211,-1.52231412644,42.8509427691,61.2209315262,0.557530459363,0.708372363581,0.5625,overall,all,hist_gradient_boosting_total,Histogram Gradient Boosting Total-PPR Model,direct_total_points
2414,77.5290140845,93.9708202154,-16.4418061309,46.8375642088,67.0427471147,0.469375723471,0.696314505173,0.572916666667,overall,all,current_year_baseline,2025 PPR Baseline,baseline
287,126.91554007,130.681382869,-3.76584279909,66.886306731,89.2372732639,0.499109129578,0.69175927327,0.583333333333,position,QB,elastic_net_total,Elastic Net Total-PPR Model,direct_total_points
287,126.91554007,131.035484575,-4.11994450505,66.9085717597,89.2908535741,0.498507453971,0.689399595688,0.583333333333,position,QB,ridge_total,Ridge Total-PPR Model,direct_total_points
287,126.91554007,125.66012734,1.25541272996,67.829223282,91.503334852,0.473347224167,0.659691998531,0.533333333333,position,QB,random_forest_total,Random Forest Total-PPR Model,direct_total_points
287,126.91554007,120.257726497,6.65781357222,66.2389490374,91.8075156903,0.469839943203,0.667574057457,0.5,position,QB,two_stage_hist_gradient_boosting,Two-Stage HGB: Games x PPR/Game,two_stage_games_x_rate
287,126.91554007,127.51887889,-0.603338820142,69.5897379472,95.8293489734,0.422372836102,0.646472257214,0.483333333333,position,QB,hist_gradient_boosting_total,Histogram Gradient Boosting Total-PPR Model,direct_total_points
287,126.91554007,153.094773519,-26.1792334495,75.7201393728,101.968338831,0.345994769716,0.64862966717,0.566666666667,position,QB,current_year_baseline,2025 PPR Baseline,baseline
628,77.2088535032,77.1188882697,0.089965233474,45.013514282,62.3630739604,0.557761067976,0.704695601349,0.666666666667,position,RB,hist_gradient_boosting_total,Histogram Gradient Boosting Total-PPR Model,direct_total_points
628,77.2088535032,73.2166833222,3.99217018098,44.3693627143,62.495351973,0.555883016632,0.701715730323,0.675,position,RB,two_stage_hist_gradient_boosting,Two-Stage HGB: Games x PPR/Game,two_stage_games_x_rate
628,77.2088535032,76.4116125226,0.797240980584,45.5423861578,63.3721912346,0.543333248915,0.706582047068,0.65,position,RB,random_forest_total,Random Forest Total-PPR Model,direct_total_points
