feature,feature_group,importance_mean,importance_std
value_epa_total,current_season_production,0.0385282808441,0.0120855712155
value_score_last3_avg,player_history,0.0132023950621,0.00373676084396
value_score_last2_avg,player_history,0.0125045333473,0.00373426657524
position,position_indicator,0.00737569824966,0.00104253390103
value_score_prev,player_history,0.005785751883,0.00291951562549
value_epa_per_game,current_season_production,0.00572322683938,0.00694082824506
draft_number,player_profile,0.00389119640529,0.001028905426
age,player_profile,0.00292073373386,0.00301945358429
yards_per_game,current_season_production,0.0028504477313,0.00196954310978
games_played,current_season_production,0.00168822940179,0.000833225402302
years_exp,player_profile,0.00120583105575,0.00205349210239
value_epa_total_prev,player_history,0.000771115036337,0.000624368536155
yards_per_game_prev,player_history,0.000358657990747,0.000875860720359
games_played_prev,player_history,9.34121235105e-05,0.000183996151508
prior_qualifying_seasons,player_history,1.9219906229e-05,0.00120478983583
games_played_last3_avg,player_history,-5.94658581932e-05,0.000452016135458
value_epa_per_game_prev,player_history,-0.000180511890409,0.000606767985966
games_played_last2_sum,player_history,-0.000211639156725,0.000736098913308
tds_per_game,current_season_production,-0.000539624358953,0.00177536605835
tds_per_game_prev,player_history,-0.000662532610869,0.000618263474069
value_score_trend_2yr,player_history,-0.00134278474253,0.00058614777577
