season,rows,matched_salary_rows,match_rate,median_salary_millions,median_value_above_expected_salary
2016,450,398,0.884444444444,2.13097439792,-0.0980977934944
2017,460,440,0.95652173913,2.11696725,-0.0370086075818
2018,469,456,0.972281449893,1.87261634375,-0.0782287751984
2019,455,432,0.949450549451,1.7094316125,-0.0563089364835
2020,486,461,0.948559670782,1.6501287625,-0.0117914695814
2021,499,484,0.96993987976,1.860838,-0.0374731043286
2022,487,475,0.975359342916,1.88309611667,-0.0284240313116
2023,466,451,0.967811158798,2.1672173125,-0.0999397498528
2024,476,473,0.993697478992,2.0333993625,-0.0789354701197
2025,505,499,0.988118811881,1.969422625,-0.0600791398231
