season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2025,00-0040122,Ashton Jeanty,RB,LV,17,22,0,6,-6.20696452825,-77.0577531343,0.00787401574803,9.68107,inflated_apy,Ashton Jeanty,Raiders,2025,4,8.973953,0.032,9.68107,-0.641144473519,-7.95963185209,0.904,-0.896125984252,0.637517832693,-6.84448236094,0.008,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2016,00-0032241,Todd Gurley,RB,LA,16,22,1,10,-4.1161896163,-64.3209121975,0.00826446280992,7.264695,inflated_apy,Todd Gurley,Rams,2015,4,3.455795,0.024,7.264695,-0.56660184857,-8.85390401077,0.834951456311,-0.826686993501,0.48712590187,-4.60331551817,0.00970873786408,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0032187,David Johnson,RB,ARI,16,27,3,86,-3.71508321381,-66.3530603843,0.00826446280992,22.097065,inflated_apy,David Johnson,ARI/HOU,2018,3,13,0.073,22.097065,-0.16812564084,-3.00279971047,0.991304347826,-0.983039885016,0.779378266412,-4.49446148022,0.00869565217391,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2020,00-0033045,Ezekiel Elliott,RB,DAL,15,25,4,4,-3.48518740607,-46.1534416853,0.00751879699248,24.006376,inflated_apy,Ezekiel Elliott,Cowboys,2019,6,15,0.08,24.006376,-0.145177573078,-1.92254931295,1,-0.992481203008,0.697352854423,-4.18254026049,0.00793650793651,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2022,00-0033906,Alvin Kamara,RB,NO,15,27,5,67,-3.16319827899,-44.4513261552,0.015037593985,22.795156,inflated_apy,Alvin Kamara,Saints,2020,5,15,0.076,22.795156,-0.138766248364,-1.95003386488,0.984126984127,-0.969089390142,0.684033768503,-3.84723204749,0.00793650793651,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2022,00-0033893,Dalvin Cook,RB,MIN,17,27,5,41,-2.97218714696,-42.081077422,0.0225563909774,19.147931,inflated_apy,Dalvin Cook,Vikings,2020,5,12.6,0.064,19.147931,-0.155222365641,-2.19768273773,0.960317460317,-0.93776106934,0.727751034148,-3.69993818111,0.015873015873,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2019,00-0030496,Le'Veon Bell,RB,NYJ,15,27,6,48,-2.97046745481,-50.1831016585,0.00840336134454,21.005579,inflated_apy,Le'Veon Bell,Jets,2019,4,13.125,0.07,21.005579,-0.141413262391,-2.3890368201,0.97247706422,-0.964073702876,0.630459322321,-3.60092677713,0.00917431192661,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2023,00-0034844,Saquon Barkley,RB,NYG,14,26,5,2,-3.09619281081,-56.8393579366,0.00847457627119,13.520504,inflated_apy,Saquon Barkley,Giants,2023,1,10.091,0.045,13.520504,-0.228999807315,-4.20393780709,0.941441441441,-0.93296686517,0.456268677433,-3.55246148824,0.00900900900901,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0033906,Alvin Kamara,RB,NO,11,30,8,67,-3.0815412837,-40.4467029307,0.0157480314961,14.44675,inflated_apy,Alvin Kamara,Saints,2024,2,12.25,0.048,14.44675,-0.213303426978,-2.79970948004,0.968,-0.952251968504,0.273565314936,-3.35510659863,0.016,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2023,00-0033699,Austin Ekeler,RB,LAC,14,28,6,,-2.9399035724,-54.4462220123,0.0169491525424,9.308022,inflated_apy,Austin Ekeler,Chargers,2020,4,6.125,0.031,9.308022,-0.315846220862,-5.8493869065,0.90990990991,-0.892960757368,0.362630440424,-3.30253401283,0.018018018018,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
