season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2025,00-0039075,Puka Nacua,WR,LA,16,24,2,177,6.05717567075,125.031461363,1,1.368323,inflated_apy,Puka Nacua,Rams,2023,4,1.021245,0.005,1.368323,4.42671479669,91.3756922617,0.331707317073,0.668292682927,0.0990495684008,5.95812610235,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2017,00-0027656,Rob Gronkowski,TE,NE,13,28,7,42,5.7172333778,74.5829950866,1,22.477612,inflated_apy,Rob Gronkowski,NE/TB,2012,6,9,0.075,22.477612,0.254352347473,3.31810136622,0.990196078431,0.00980392156863,0.535326912776,5.18190646502,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2017,00-0033906,Alvin Kamara,RB,NO,16,22,0,67,4.94648417452,68.433593468,1,1.739462,inflated_apy,Alvin Kamara,Saints,2017,4,0.964443,0.006,1.739462,2.84368625157,39.3418157269,0.55652173913,0.44347826087,0.198727050135,4.74775712439,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2022,00-0030506,Travis Kelce,TE,KC,17,33,9,63,5.16579291243,66.5255464123,1,21.750378,inflated_apy,Travis Kelce,Chiefs,2020,4,14.3125,0.072,21.750378,0.237503592463,3.05859265583,0.961904761905,0.0380952380952,0.693925067226,4.4718678452,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2023,00-0036358,CeeDee Lamb,WR,DAL,17,24,3,17,4.5311133382,111.908344258,1,5.322675,inflated_apy,CeeDee Lamb,Cowboys,2020,4,3.502504,0.018,5.322675,0.851284990762,21.0248313598,0.72131147541,0.27868852459,0.359910166529,4.17120317167,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033908,Cooper Kupp,WR,LA,17,28,4,69,4.92960199903,111.49823531,1,23.934914,inflated_apy,Cooper Kupp,Rams,2020,3,15.75,0.079,23.934914,0.205958625923,4.65839297813,0.914572864322,0.0854271356784,0.769661337755,4.15994066127,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2020,00-0030506,Travis Kelce,TE,KC,15,31,7,63,4.78685931507,75.2199116117,1,21.750378,inflated_apy,Travis Kelce,Chiefs,2020,4,14.3125,0.072,21.750378,0.220081660883,3.45832663744,0.989898989899,0.010101010101,0.635576648171,4.1512826669,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0033288,George Kittle,TE,SF,16,25,1,146,4.19326500787,65.8868321365,0.990476190476,1.216657,inflated_apy,George Kittle,49ers,2017,4,0.674574,0.004,1.216657,3.44654656807,54.1539909247,0.31067961165,0.679796578826,0.157707439393,4.03555756848,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0037247,George Pickens,WR,DAL,17,24,3,52,4.13508291966,88.7427112801,0.990291262136,2.442074,inflated_apy,George Pickens,PIT/DAL,2022,4,1.688047,0.008,2.442074,1.6932668378,36.3390754253,0.585365853659,0.404925408477,0.190500380593,3.94458253907,0.99512195122,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0038543,Jaxon Smith-Njigba,WR,SEA,17,23,2,20,4.23976047752,90.7190039093,0.995145631068,4.829285,inflated_apy,Jaxon Smith-Njigba,Seahawks,2023,4,3.604327,0.016,4.829285,0.877927162618,18.7851832951,0.756097560976,0.239048070092,0.359861436079,3.87989904145,0.990243902439,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2019,00-0033921,Chris Godwin Jr.,WR,TB,14,23,2,84,3.76037903258,86.4499131134,0.994708994709,1.480824,inflated_apy,Chris Godwin,Buccaneers,2017,4,0.821041,0.005,1.480824,2.53938282509,58.3796002181,0.494505494505,0.500203500204,-0.0293449473297,3.78972397991,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2016,00-0030506,Travis Kelce,TE,KC,16,27,3,63,4.49403793993,69.4743280457,1,18.17326,inflated_apy,Travis Kelce,Chiefs,2016,5,9.3684,0.06,18.17326,0.247288485386,3.82288747565,0.966292134831,0.0337078651685,0.729416801992,3.76462113794,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0030506,Travis Kelce,TE,KC,16,29,5,63,4.43265723376,69.2335993491,1,18.17326,inflated_apy,Travis Kelce,Chiefs,2016,5,9.3684,0.06,18.17326,0.243910956744,3.8096411623,1,0,0.682842576884,3.74981465687,0.990291262136,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2019,00-0030506,Travis Kelce,TE,KC,16,30,6,63,4.3039952531,65.4999206605,1,18.17326,inflated_apy,Travis Kelce,Chiefs,2016,5,9.3684,0.06,18.17326,0.236831215374,3.60419212957,1,0,0.65955546433,3.64443978877,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2025,00-0037744,Trey McBride,TE,ARI,17,26,3,55,4.42287966837,72.7163668903,1,20.497135,inflated_apy,Trey McBride,Cardinals,2025,4,19,0.068,20.497135,0.21578038435,3.54763565202,0.981308411215,0.018691588785,0.814466084292,3.60841358408,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2019,00-0033288,George Kittle,TE,SF,14,26,2,146,3.58772921908,55.9614006509,0.99,1.216657,inflated_apy,George Kittle,49ers,2017,4,0.674574,0.004,1.216657,2.94884196539,45.9960372158,0.31,0.68,0.0294976826754,3.55823153641,0.99,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2019,00-0032765,Michael Thomas,WR,NO,16,26,3,47,4.31534228995,97.2980965777,1,30.808183,inflated_apy,Michael Thomas,Saints,2019,5,19.25,0.102,30.808183,0.140071301509,3.15819003599,0.994505494505,0.00549450549451,0.806285883068,3.50905640688,0.994505494505,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2023,00-0033288,George Kittle,TE,SF,16,30,6,146,4.21725517139,60.2406884463,1,22.795156,inflated_apy,George Kittle,49ers,2020,5,15,0.076,22.795156,0.185006637875,2.64269691536,0.969696969697,0.030303030303,0.759561024969,3.45769414642,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2024,00-0033288,George Kittle,TE,SF,15,31,7,146,4.12808431416,67.9449277442,1,22.795156,inflated_apy,George Kittle,49ers,2020,5,15,0.076,22.795156,0.181094804272,2.98067395302,0.980769230769,0.0192307692308,0.683812590333,3.44427172383,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2017,00-0030506,Travis Kelce,TE,KC,15,28,4,63,3.97016375579,53.3305417451,0.990384615385,18.17326,inflated_apy,Travis Kelce,Chiefs,2016,5,9.3684,0.06,18.17326,0.218461836555,2.93456109389,0.980392156863,0.00999245852187,0.653668367357,3.31649538844,0.990196078431,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0033040,Tyreek Hill,WR,KC,16,24,2,165,3.37063562309,84.1354877514,0.994764397906,1.254218,inflated_apy,Tyreek Hill,Chiefs,2016,4,0.646555,0.004,1.254218,2.68744000093,67.0820286038,0.310160427807,0.684603970098,0.0790966481274,3.29153897496,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2024,00-0036963,Amon-Ra St. Brown,WR,DET,17,25,3,112,4.1696879818,95.743892084,1,35.382745,inflated_apy,Amon-Ra St. Brown,Lions,2024,4,30.0025,0.117,35.382745,0.117845237327,2.70594867877,0.97461928934,0.0253807106599,0.927851395673,3.24183658613,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2022,00-0036322,Justin Jefferson,WR,MIN,17,23,2,22,3.59675580031,77.6467391848,0.994791666667,4.985608,inflated_apy,Justin Jefferson,Vikings,2020,4,3.280702,0.017,4.985608,0.721427717603,15.5741765467,0.684210526316,0.310581140351,0.368705017383,3.22805078292,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2018,00-0032765,Michael Thomas,WR,NO,16,25,2,47,3.37526148983,84.2330338304,1,2.482507,inflated_apy,Michael Thomas,Saints,2016,4,1.279744,0.008,2.482507,1.35961811581,33.9306329571,0.55614973262,0.44385026738,0.160161983368,3.21509950647,0.994652406417,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2024,00-0033858,Jonnu Smith,TE,MIA,17,29,7,100,3.44343450644,58.0687162327,0.990384615385,4.953171,inflated_apy,Jonnu Smith,Dolphins,2024,1,4.2,0.016,4.953171,0.69519798659,11.7235436113,0.75,0.240384615385,0.35283126183,3.09060324461,0.990384615385,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
