season,player_display_name,position,team,games_played,years_exp,value_score,salary_millions,salary_percentile,value_above_expected_salary,salary_efficiency_percentile
2025,Ashton Jeanty,RB,LV,17,0,-6.20696452825,9.68107,0.904,-6.84448236094,0.008
2016,Todd Gurley,RB,LA,16,1,-4.1161896163,7.264695,0.834951456311,-4.60331551817,0.00970873786408
2018,David Johnson,RB,ARI,16,3,-3.71508321381,22.097065,0.991304347826,-4.49446148022,0.00869565217391
2020,Ezekiel Elliott,RB,DAL,15,4,-3.48518740607,24.006376,1,-4.18254026049,0.00793650793651
2022,Alvin Kamara,RB,NO,15,5,-3.16319827899,22.795156,0.984126984127,-3.84723204749,0.00793650793651
2022,Dalvin Cook,RB,MIN,17,5,-2.97218714696,19.147931,0.960317460317,-3.69993818111,0.015873015873
2019,Le'Veon Bell,RB,NYJ,15,6,-2.97046745481,21.005579,0.97247706422,-3.60092677713,0.00917431192661
2023,Saquon Barkley,RB,NYG,14,5,-3.09619281081,13.520504,0.941441441441,-3.55246148824,0.00900900900901
2025,Alvin Kamara,RB,NO,11,8,-3.0815412837,14.44675,0.968,-3.35510659863,0.016
2023,Austin Ekeler,RB,LAC,14,6,-2.9399035724,9.308022,0.90990990991,-3.30253401283,0.018018018018
2019,Devonta Freeman,RB,ATL,14,5,-2.71631130477,14.879641,0.963302752294,-3.24051433976,0.0183486238532
2016,Tavon Austin,WR,LA,15,3,-2.47053308142,20.476054,0.905063291139,-3.08920846064,0.00632911392405
2020,Melvin Gordon,RB,DEN,15,5,-2.55455645949,12.157417,0.944444444444,-3.03757544626,0.015873015873
2021,Mike Davis,RB,ATL,17,6,-2.68074940157,4.53863,0.802419354839,-3.02989207252,0.00806451612903
2025,Tony Pollard,RB,TEN,17,6,-2.49034489408,8.550117,0.888,-3.00519769678,0.024
2018,Carlos Hyde,RB,JAX,14,4,-2.50683824934,8.640519,0.921739130435,-2.88148296942,0.0173913043478
2025,Jerry Jeudy,WR,CLE,17,5,-2.13165196616,20.638215,0.882926829268,-2.81648555111,0.00487804878049
2023,Josh Jacobs,RB,LV,13,4,-2.3044386365,15.798262,0.963963963964,-2.78481432351,0.027027027027
2016,Lamar Miller,RB,HOU,14,4,-2.2824987188,12.609004,0.970873786408,-2.77708264469,0.0194174757282
2021,Josh Jacobs,RB,LV,15,2,-2.46457866353,4.774628,0.822580645161,-2.77330137034,0.0161290322581
2025,Saquon Barkley,RB,PHI,16,7,-2.11015067605,22.223209,0.992,-2.76688039318,0.032
2020,Josh Jacobs,RB,LV,15,1,-2.36660861967,4.774628,0.833333333333,-2.69861843903,0.031746031746
2021,Robbie Chosen,WR,CAR,17,5,-1.907669725,24.343562,0.91959798995,-2.66694810836,0.00502512562814
2018,LeGarrette Blount,RB,DET,16,8,-2.50260308973,3.399549,0.75652173913,-2.66330458309,0.0260869565217
2019,Leonard Fournette,RB,JAX,15,2,-2.09901354456,12.240793,0.94495412844,-2.64921366461,0.0366972477064
