season,position,replacement_salary_millions,replacement_value_score,replacement_sample_size
2016,QB,1.643576,-0.0959227538083,5
2016,RB,1.114154,-0.0621039679814,19
2016,TE,1.163908,-0.227568472396,11
2016,WR,1.1094245,-0.580914659793,34
2017,QB,1.320741,-0.967949313357,5
2017,RB,1.0513095,0.40147361136,16
2017,TE,1.077197,-0.184146798107,14
2017,WR,1.05366,-0.464987186385,28
2018,RB,1.019865,0.443422884433,17
2018,TE,1.0024975,-0.46615871906,12
2018,WR,1.005503,-0.369742101845,23
2019,QB,1.084935,-0.98903923864,5
2019,RB,0.973121,0.241147442738,19
2019,TE,1.004001,-0.204297654277,11
2019,WR,0.942917,-0.539961439175,26
2020,RB,1.074713,0.115413300485,21
2020,TE,1.088292,0.0204128044557,15
2020,WR,1.025782,-0.483149787393,38
2021,RB,1.22543,0.163503996806,23
2021,TE,1.237587,-0.3142504576,13
2021,WR,1.287321,-0.113411331734,33
2022,RB,1.294784,0.386895967793,21
2022,TE,1.22543,-0.120354645085,18
2022,WR,1.305241,-0.327970446898,24
2023,QB,1.351571,-0.847760452472,7
2023,RB,1.259466,0.422445912745,16
2023,TE,1.3492165,-0.501520608115,14
2023,WR,1.317524,-0.338412166956,32
2024,QB,1.426985,-0.461185120255,5
2024,RB,1.210338,0.23049031332,19
2024,TE,1.223069,-0.311629473479,12
2024,WR,1.226024,-0.486609901216,30
2025,RB,1.146895,-0.199920080536,21
2025,TE,1.118395,-0.510392996825,14
2025,WR,1.11116,-0.422470993836,32
