season,team,player_seasons,total_cap_over_replacement_millions,total_value_over_replacement,total_dollar_surplus_millions,mean_dollar_surplus_millions
2022,NYG,9,1.444913,2.92100898881,9.17530522403,1.146913153
2023,HOU,13,38.566187,5.09086632719,6.9056109133,0.531200839485
2019,JAX,7,15.627114,2.02666373847,4.12440198988,0.589200284268
2023,GB,13,37.3199655,7.26494839113,4.1114064766,0.316262036661
2024,WAS,11,54.383335,9.35049708323,4.02953944988,0.366321768171
2024,DEN,13,29.843926,1.70438816327,2.32000448596,0.178461883536
2018,NO,9,16.4438645,7.7297696227,2.31188401639,0.288985502048
2023,DET,9,27.596592,8.36860294373,2.04017221633,0.226685801814
2020,WAS,9,7.561373,0.58495754643,1.06387972945,0.132984966181
2020,GB,15,29.918997,12.7629231229,0.301411692077,0.0231855147752
2022,DET,11,24.893012,5.15182388107,-2.1453358563,-0.21453358563
2019,DEN,9,12.117289,0.335051601454,-2.26488752539,-0.251654169487
2020,TEN,10,30.38105,8.35885586527,-4.8777121918,-0.541968021311
2025,LAC,12,17.629711,4.32101921272,-6.38937203304,-0.580852003003
2020,JAX,10,16.541661,0.536691825061,-6.45257181663,-0.71695242407
2020,NE,9,9.530701,1.58856788651,-6.69415041844,-0.836768802305
2020,PIT,12,19.913356,-0.78451332464,-6.73206851185,-0.61200622835
2020,SEA,12,37.436118,7.44402187811,-6.8693899053,-0.624489991391
2025,SEA,12,25.318711,6.83754169839,-7.5849069716,-0.689536997418
2024,PIT,12,28.476745,2.88602980902,-7.64950941525,-0.637459117937
2023,IND,12,32.750486,5.18388616521,-7.93402490339,-0.661168741949
2023,SF,12,87.543651,16.0395067777,-8.4757917576,-0.7063159798
2021,DET,10,17.48133,-0.154031081174,-9.33241687126,-1.03693520792
2025,NYG,9,20.376138,4.3017200253,-9.47521899316,-1.18440237414
2016,CLE,10,21.5969125,3.15476111499,-10.1356451652,-1.01356451652
2024,TB,12,62.983601,9.93022363775,-10.1632554232,-0.846937951931
2025,TEN,10,10.033825,-1.82554439113,-10.1834980471,-1.13149978301
2016,TB,9,33.8963485,6.38268842164,-10.3049271184,-1.14499190205
2021,SF,12,30.210454,5.31345888846,-10.6647360212,-0.969521456469
2020,CAR,8,24.620873,0.493694062373,-11.2718763866,-1.61026805523
2025,GB,12,31.633143,8.17139020429,-11.2997403215,-1.02724912014
2023,TB,8,32.874576,1.84429309009,-11.6200986242,-1.45251232802
2021,WAS,12,7.336797,-1.67605962449,-12.0181190918,-1.09255628107
2019,BAL,12,38.511329,15.8253953544,-12.3245120067,-1.02704266723
2019,DAL,8,38.854812,8.71317985971,-12.4716828883,-1.55896036104
2022,CHI,11,10.350541,-2.32642347528,-12.5699284173,-1.25699284173
2020,IND,9,15.365567,1.4572142122,-12.6339423048,-1.5792427881
2022,KC,13,47.694665,13.1867671767,-12.7239060779,-1.06032550649
2025,ARI,9,32.153284,6.9601239011,-12.8752972936,-1.6094121617
2021,PIT,11,16.193878,-2.3845135074,-13.270401042,-1.3270401042
2022,IND,11,16.493567,-6.77972791655,-13.3065928575,-1.33065928575
2025,NYJ,12,12.988175,0.6592585779,-13.9280081241,-1.26618255674
