season,player_display_name,position,team,games_played,years_exp,value_score,salary_millions,replacement_salary_millions,replacement_value_score,cap_over_replacement_millions,value_over_replacement,price_per_value_unit_millions,value_over_replacement_dollar_equivalent_millions,dollar_surplus_millions
2023,Brock Purdy,QB,SF,16,1,2.74691917119,1.19713679167,1.0066953625,-0.847760452472,0.19044142917,3.59467962366,9.90574910917,35.6079944798,35.4175530507
2024,Brock Purdy,QB,SF,15,2,1.28003908255,1.50600420833,1.37228620417,-0.461185120255,0.13371800416,1.74122420281,15.9687004184,27.8050876559,27.6713696517
2024,Jayden Daniels,QB,WAS,17,0,1.64566446362,11.1289065,1.37228620417,-0.461185120255,9.75662029583,2.10684958387,15.9687004184,33.6436498315,23.8870295357
2025,Puka Nacua,WR,LA,16,2,6.05717567075,1.518387075,1.0172113125,-0.508908322553,0.5011757625,6.5660839933,2.29652922535,15.0792037867,14.5780280242
2023,CeeDee Lamb,WR,DAL,17,3,4.5311133382,5.32267425,1.165676,-0.355168631688,4.15699825,4.88628196989,3.79328150212,18.5350430105,14.3780447605
2023,Jake Browning,QB,CIN,9,4,0.569117774177,1.004893,1.0066953625,-0.847760452472,-0.0018023625,1.41687822665,9.90574910917,14.0352402314,14.0370425939
2019,Chris Godwin Jr.,WR,TB,14,2,3.76037903258,1.6187073875,0.717790775,-0.559773330108,0.9009166125,4.32015236269,3.34665990062,14.4580806768,13.5571640643
2024,Bo Nix,QB,DEN,17,0,0.618028236293,5.48775025,1.37228620417,-0.461185120255,4.11546404583,1.07921335655,15.9687004184,17.2336347783,13.1181707324
2023,Tua Tagovailoa,QB,MIA,17,3,1.45343417064,11.50222175,1.0066953625,-0.847760452472,10.4955263875,2.30119462311,9.90574910917,22.7950565879,12.2995302004
2018,Tyreek Hill,WR,KC,16,2,3.37063562309,1.38816795417,0.7474009,-0.424572922853,0.64076705417,3.79520854594,3.40241608007,12.9128785839,12.2721115298
2020,A.J. Brown,WR,TEN,14,1,2.581643482,2.15537039583,0.9292986,-0.433583083783,1.22607179583,3.01522656578,4.36448400254,13.1599081104,11.9338363146
2023,Puka Nacua,WR,LA,17,0,2.71046608263,0.918130775,1.165676,-0.355168631688,-0.247545225,3.06563471432,3.79328150212,11.6288154541,11.8763606791
2016,Dak Prescott,QB,DAL,16,0,2.09637572245,0.9235571625,1.1811626125,-0.0959227538083,-0.25760545,2.19229847626,5.27013190391,11.5537021426,11.8113075926
2019,Lamar Jackson,QB,BAL,15,1,3.14979095219,3.95468757917,0.970571,-0.98903923864,2.98411657917,4.13883019083,3.43973189433,14.2364662126,11.2523496334
2017,Case Keenum,QB,MIN,15,5,0.923967601944,3.607186,1.4555645625,-0.967949313357,2.1516214375,1.8919169153,7.07663575606,13.3884068903,11.2367854528
2018,Michael Thomas,WR,NO,16,2,3.37526148983,2.599251375,0.7474009,-0.424572922853,1.851850475,3.79983441268,3.40241608007,12.9286177073,11.0767672323
2023,Amon-Ra St. Brown,WR,DET,16,2,2.75133747391,1.92737470833,1.165676,-0.355168631688,0.76169870833,3.1065061056,3.79328150212,11.7838521466,11.0221534383
2020,DK Metcalf,WR,SEA,16,1,2.26161898948,1.726063725,0.9292986,-0.433583083783,0.796765125,2.69520207326,4.36448400254,11.7631663324,10.9664012074
2023,Nico Collins,WR,HOU,15,2,2.7478720558,2.20103699167,1.165676,-0.355168631688,1.03536099167,3.10304068749,3.79328150212,11.7707068402,10.7353458485
2023,Baker Mayfield,QB,TB,17,5,0.612817409693,5.359431,1.0066953625,-0.847760452472,4.3527356375,1.46057786217,9.90574910917,14.468117857,10.1153822195
2019,Dak Prescott,QB,DAL,16,3,2.12022622291,1.7179243375,0.970571,-0.98903923864,0.7473533375,3.10926546155,3.43973189433,10.695039576,9.94768623852
2020,Chris Godwin Jr.,WR,TB,12,3,2.04756146774,1.8944746625,0.9292986,-0.433583083783,0.9651760625,2.48114455152,4.36448400254,10.8289157031,9.86373964061
2019,Cooper Kupp,WR,LA,16,2,2.70937796984,1.87924524583,0.717790775,-0.559773330108,1.16145447083,3.26915129995,3.34665990062,10.9407375646,9.77928309375
2023,Brandon Aiyuk,WR,SF,16,3,3.16818630296,4.7609015,1.165676,-0.355168631688,3.5952255,3.52335493465,3.79328150212,13.365077099,9.76985159901
2021,Dalton Schultz,TE,DAL,17,3,3.09566208585,1.6034634375,1.162553,-0.525818457066,0.4409104375,3.62148054292,2.77588754382,10.0528227293,9.61191229176
