season,player_display_name,position,team,games_played,years_exp,value_score,salary_millions,salary_percentile,value_above_expected_salary,salary_efficiency_percentile
2025,Puka Nacua,WR,LA,16,2,6.05717567075,1.518387075,0.409756097561,5.92601178735,1
2017,Alvin Kamara,RB,NO,16,0,4.94648417452,1.2841680625,0.313043478261,4.79149399002,1
2023,CeeDee Lamb,WR,DAL,17,3,4.5311133382,5.32267425,0.732240437158,4.16494999141,1
2018,George Kittle,TE,SF,16,1,4.19326500787,1.090405275,0.320388349515,4.04232967369,1
2025,George Pickens,WR,DAL,17,3,4.13508291966,2.8072312875,0.624390243902,3.91019981176,0.99512195122
2025,Jaxon Smith-Njigba,WR,SEA,17,2,4.23976047752,4.829285,0.760975609756,3.87093120023,0.990243902439
2016,Travis Kelce,TE,KC,16,3,4.49403793993,13.24071476,0.898876404494,3.83776298821,1
2019,Chris Godwin Jr.,WR,TB,14,2,3.76037903258,1.6187073875,0.5,3.7644391853,1
2025,Trey McBride,TE,ARI,17,3,4.42287966837,16.3909652875,0.953271028037,3.65598504364,1
2019,Michael Thomas,WR,NO,16,3,4.31534228995,24.01896036,0.950549450549,3.55811270809,0.994505494505
2019,George Kittle,TE,SF,14,2,3.58772921908,1.342908225,0.35,3.53062224177,0.99
2024,Amon-Ra St. Brown,WR,DET,17,3,4.1696879818,26.5760058125,0.928934010152,3.29830605083,1
2018,Tyreek Hill,WR,KC,16,2,3.37063562309,1.38816795417,0.374331550802,3.26188400162,1
2022,Justin Jefferson,WR,MIN,17,2,3.59675580031,4.985607,0.689473684211,3.21869331633,1
2018,Michael Thomas,WR,NO,16,2,3.37526148983,2.599251375,0.572192513369,3.19663126025,0.994652406417
2019,Lamar Jackson,QB,BAL,15,1,3.14979095219,3.95468757917,0.292682926829,3.0665312146,1
2017,Michael Thomas,WR,NO,16,1,3.18468894469,2.365761125,0.52808988764,3.00042852571,1
2022,Jaylen Waddle,WR,MIA,17,1,3.61218897408,11.17575625,0.821052631579,2.99514241927,0.994736842105
2018,Patrick Mahomes,QB,KC,16,1,3.28105628664,7.40643675,0.352941176471,2.99278430833,1
2023,De'Von Achane,RB,MIA,11,0,2.88367323513,1.29578315,0.279279279279,2.97596503454,1
2021,Dallas Goedert,TE,PHI,15,3,3.64605629597,17.4354126875,0.951923076923,2.96673511127,1
2021,Deebo Samuel Sr.,WR,SF,16,2,3.17706924287,3.1950841875,0.658291457286,2.95598137048,0.994974874372
2021,Mark Andrews,TE,BAL,17,3,3.77080134546,19.36306315,0.980769230769,2.93957344147,0.990384615385
2021,Jonathan Taylor,RB,IND,17,1,3.23406999702,2.84150334583,0.685483870968,2.90390446032,1
2021,Dalton Schultz,TE,DAL,17,3,3.09566208585,1.6034634375,0.384615384615,2.88088204978,0.980769230769
