season,team,player_seasons,total_value_above_expected_salary,mean_value_above_expected_salary,median_value_above_expected_salary,total_salary_millions,median_salary_millions,mean_value_score,high_efficiency_players,low_efficiency_players
2018,KC,10,14.0322274057,1.40322274057,0.91951873255,68.577063,2.845108,1.57603232765,6,1
2020,GB,15,14.007935457,0.9338623638,0.947641533116,101.552126,1.173214,0.817977232489,9,0
2022,KC,13,13.041272024,1.00317477108,0.431421353556,131.472222,2.332965,1.22680166109,8,0
2024,BAL,10,11.9165189103,1.19165189103,1.22767020951,127.268624,4.5620915,1.48456966975,8,0
2017,NE,12,11.0800673353,0.923338944605,0.60514497088,117.566041,5.726407,1.0913855255,6,2
2024,DET,11,10.9827579725,0.998432542951,0.533123537196,140.058731,5.977487,1.24995121123,6,0
2016,ATL,11,10.8528393318,0.986621757435,0.805437114052,107.463863,1.691923,1.12459521946,8,0
2023,SF,12,10.8306573899,0.902554782491,0.466696592377,103.311244,2.202486,1.07635179667,6,0
2025,NE,11,10.5003110831,0.954573734832,0.77968229138,73.358289,4.530946,1.16915755999,8,1
2019,BAL,12,10.0528788918,0.837739907654,0.323874053346,50.242215,3.612884,1.02059152378,6,1
2021,KC,13,9.32508607782,0.717314313679,0.712104801095,140.69597,1.998552,0.840064888818,7,1
2018,LA,10,8.90742991543,0.890742991543,0.94201516887,87.04213,2.226657,1.06926568979,7,1
2020,KC,10,8.84234076948,0.884234076948,0.388255039677,145.494009,3.8013915,1.11854800794,4,3
2017,KC,11,8.46919662973,0.769926966339,0.384907769685,73.48526,1.508892,0.86312158258,5,1
2023,MIA,11,8.35969569354,0.759972335777,0.965316470241,95.974829,4.689502,0.945755463112,7,3
2025,DET,11,7.90042983895,0.71822089445,0.562045311031,159.641757,4.717306,0.991191246549,6,1
2018,NO,9,7.7929075525,0.865878616945,0.542698225683,67.001953,2.482507,0.919857979695,5,1
2025,LA,12,7.7391830082,0.64493191735,0.140499695392,108.863654,2.159527,0.850126718846,6,3
2016,NE,9,7.56107706987,0.84011967443,0.741659303641,104.810494,7.856379,1.06365520846,5,1
2019,KC,12,7.13148203451,0.594290169543,0.187224468131,98.462144,3.166488,0.726968223178,4,2
2020,MIN,12,7.05853376545,0.588211147121,0.477026178036,124.483879,1.955928,0.709698118685,5,1
2020,TEN,10,6.93771266088,0.693771266088,0.665377185427,84.666444,1.3504715,0.815649009647,6,2
2018,LAC,10,6.83256111284,0.683256111284,0.860940759333,107.880605,5.2802885,0.921774612937,5,1
2024,CIN,13,6.82731137674,0.525177798211,0.224770872489,133.919362,1.716184,0.618958062062,6,1
2017,PHI,12,6.46781976456,0.53898498038,0.58240238134,85.43746,4.9404455,0.738305002692,6,2
2022,SF,9,6.37566602719,0.708407336354,0.723914834322,103.198206,4.760902,0.979524575757,6,1
2022,CIN,12,6.19747910237,0.516456591864,0.470330698133,80.236453,3.011728,0.638040674128,8,1
2022,PHI,11,6.15678839427,0.559708035843,0.35135101341,82.608948,2.170029,0.802883537133,4,3
2017,NO,10,6.13931920507,0.613931920507,-0.204820494864,44.36863,2.890123,0.688290866858,4,2
2024,TB,12,5.97163121615,0.497635934679,0.251497045065,77.843882,1.512715,0.551465925267,6,0
2021,ARI,12,5.90683253772,0.49223604481,0.544221733539,82.045322,2.182914,0.503248565505,7,3
2020,BAL,11,5.84219067553,0.53110824323,0.146896271996,36.878089,1.697368,0.607835242671,4,1
2018,PIT,12,5.73343667451,0.477786389543,0.418201569741,103.111671,1.661801,0.526847925889,6,2
2024,BUF,13,5.71155438085,0.439350336988,0.442897860359,143.662284,3.066249,0.623993195945,8,2
