team,player_seasons,seasons,total_value_above_expected_salary,mean_value_above_expected_salary,total_salary_millions,median_salary_millions,high_efficiency_players,low_efficiency_players,best_team_season,best_team_season_surplus
KC,116,10,65.0353807914,0.560649834409,1108.21046718,2.16616216667,50,20,2018,13.8605034728
SF,112,10,33.0094394893,0.294727138298,764.992864737,2.11166499167,46,23,2023,10.5600693829
GB,118,10,32.729303721,0.277366980687,990.312073053,1.85128366042,44,18,2020,13.7308954433
DET,96,10,21.4362090131,0.223293843887,908.439590644,3.92806355,35,20,2024,11.1874834989
PHI,106,10,20.2232894939,0.190785749943,998.394921252,2.42887394167,38,23,2017,6.7681446246
BAL,116,10,20.0438655215,0.172791944151,821.79014432,2.27744764584,33,27,2024,11.8680583161
LAC,107,10,19.2944838415,0.180322278892,905.056592756,2.863390325,34,20,2018,6.75663625184
BUF,112,10,16.7387732299,0.149453332409,990.388260858,2.6632478875,40,27,2024,5.69517863241
NO,108,10,14.7113874068,0.136216550063,808.027797873,3.55960258333,38,24,2018,7.88454753735
SEA,112,10,14.1186123823,0.126059039128,1009.87938542,2.36419985833,31,23,2020,5.13757977402
NE,110,10,13.9312967332,0.12664815212,760.374044853,4.12423316667,38,31,2017,11.0968229076
TB,109,10,12.0920684645,0.110936407931,792.268798055,2.0333993625,34,23,2024,6.13285941508
DAL,109,10,9.73791860349,0.0893387027843,942.498366235,2.261508325,36,31,2016,5.62093803471
ATL,112,10,6.4843290707,0.0578957952741,973.514051583,2.4324227875,36,25,2016,10.7351864756
CIN,112,10,4.08591240016,0.0364813607157,1023.78188365,2.77216408125,37,32,2024,6.9651896919
LA,108,10,1.86249028491,0.0172452804158,1024.84956056,2.41169264791,34,34,2018,8.99961911635
MIN,107,10,-0.38310345951,-0.00358040616364,936.38792996,3.607186,31,31,2020,7.08013482272
MIA,114,10,-4.71812433749,-0.041387055592,819.930126883,2.69593724792,29,39,2023,8.46929531398
PIT,117,10,-11.4294223906,-0.0976873708595,727.282825383,1.8213754625,30,40,2018,5.63555765104
IND,113,10,-11.6547349423,-0.103139247277,841.703147237,2.19774275,25,32,2018,2.63480474889
TEN,113,10,-12.2561628585,-0.108461618217,739.211525053,1.969422625,26,29,2020,7.06027680264
WAS,111,10,-18.6688465901,-0.168187807118,755.199047632,1.880980275,24,41,2016,5.31623410017
ARI,106,10,-19.1044460965,-0.180230623552,780.362737654,2.052995925,19,36,2021,5.75239243586
CHI,102,10,-24.7304565013,-0.242455455895,664.921464092,2.71412553333,18,38,2025,2.9597489916
HOU,113,10,-25.0644519836,-0.221809309589,752.916249561,2.336363175,31,41,2019,3.70680071048
LV,111,10,-25.9083980752,-0.233408991668,868.37894183,3.17745405833,23,35,2019,2.29436804152
NYG,107,10,-30.5408611927,-0.285428609278,620.272891898,1.875801,16,32,2022,3.4961089625
CLE,112,10,-33.6481456211,-0.300429871617,660.872579429,1.79375881667,27,47,2020,4.17033821004
JAX,109,10,-33.7846526403,-0.309950941654,746.459920833,2.81807655,17,40,2022,2.68512557152
DEN,109,10,-34.1041263393,-0.312881893021,677.123684628,1.92025835417,17,38,2025,1.77728710531
CAR,109,10,-39.599134484,-0.36329481178,675.999254066,2.974605,15,42,2018,2.29442695068
NYJ,115,10,-64.0970551198,-0.557365696694,695.872089742,3.17876727083,10,61,2017,-1.96660314599
