season,player_display_name,position,team,games_played,years_exp,value_score,salary_millions,salary_percentile,value_above_expected_salary,salary_efficiency_percentile
2025,Puka Nacua,WR,LA,16,2,6.05717567075,1.518387075,0.409756097561,5.92601178735,1
2017,Rob Gronkowski,TE,NE,13,7,5.7172333778,22.944022425,0.990196078431,5.16741025739,1
2017,Alvin Kamara,RB,NO,16,0,4.94648417452,1.2841680625,0.313043478261,4.79149399002,1
2022,Travis Kelce,TE,KC,17,9,5.16579291243,23.3571204375,1,4.44995742484,1
2020,Travis Kelce,TE,KC,15,7,4.78685931507,16.9301526875,0.979797979798,4.21636496427,1
2023,CeeDee Lamb,WR,DAL,17,3,4.5311133382,5.32267425,0.732240437158,4.16494999141,1
2021,Cooper Kupp,WR,LA,17,4,4.92960199903,23.9349143333,0.939698492462,4.13856059786,1
2018,George Kittle,TE,SF,16,1,4.19326500787,1.090405275,0.320388349515,4.04232967369,1
2025,George Pickens,WR,DAL,17,3,4.13508291966,2.8072312875,0.624390243902,3.91019981176,0.99512195122
2025,Jaxon Smith-Njigba,WR,SEA,17,2,4.23976047752,4.829285,0.760975609756,3.87093120023,0.990243902439
2016,Travis Kelce,TE,KC,16,3,4.49403793993,13.24071476,0.898876404494,3.83776298821,1
2019,Chris Godwin Jr.,WR,TB,14,2,3.76037903258,1.6187073875,0.5,3.7644391853,1
2018,Travis Kelce,TE,KC,16,5,4.43265723376,18.17326,0.990291262136,3.73668414891,0.990291262136
2025,Trey McBride,TE,ARI,17,3,4.42287966837,16.3909652875,0.953271028037,3.65598504364,1
2019,Travis Kelce,TE,KC,16,6,4.3039952531,20.63953262,1,3.59681886155,1
2019,Michael Thomas,WR,NO,16,3,4.31534228995,24.01896036,0.950549450549,3.55811270809,0.994505494505
2019,George Kittle,TE,SF,14,2,3.58772921908,1.342908225,0.35,3.53062224177,0.99
2023,George Kittle,TE,SF,16,6,4.21725517139,25.188647815,0.979797979798,3.41012294578,1
2024,George Kittle,TE,SF,15,7,4.12808431416,27.58213923,0.990384615385,3.37164810744,1
2017,Travis Kelce,TE,KC,15,4,3.97016375579,15.70698738,0.941176470588,3.34202948518,0.990196078431
2024,Amon-Ra St. Brown,WR,DET,17,3,4.1696879818,26.5760058125,0.928934010152,3.29830605083,1
2018,Tyreek Hill,WR,KC,16,2,3.37063562309,1.38816795417,0.374331550802,3.26188400162,1
2022,Justin Jefferson,WR,MIN,17,2,3.59675580031,4.985607,0.689473684211,3.21869331633,1
2018,Michael Thomas,WR,NO,16,2,3.37526148983,2.599251375,0.572192513369,3.19663126025,0.994652406417
2019,Lamar Jackson,QB,BAL,15,1,3.14979095219,3.95468757917,0.292682926829,3.0665312146,1
