season,player_display_name,position,team,games_played,years_exp,value_score,salary_millions,salary_percentile,value_above_expected_salary,salary_efficiency_percentile
2024,Ty Johnson,RB,BUF,17,5,1.72369698583,1.52428,0.438596491228,1.56097620909,0.964912280702
2020,Richard Rodgers,TE,PHI,8,6,0.989561774708,1.589582,0.414141414141,1.3379805043,0.929292929293
2018,Josh Gordon,WR,NE,12,6,1.05686801414,1.342823,0.363636363636,1.30430091353,0.909090909091
2023,Jerick McKinnon,RB,KC,12,9,1.08376046815,1.765262,0.490990990991,1.29978916385,0.963963963964
2022,Jordan Akins,TE,HOU,15,4,1.29804593672,1.569654,0.390476190476,1.23859406246,0.961904761905
2020,Rashard Higgins,WR,CLE,12,4,1.06692622583,1.382906,0.4375,1.21429655617,0.91847826087
2023,Jake Browning,QB,CIN,9,4,0.569117774177,1.004893,0.103448275862,1.13212642404,0.948275862069
2018,Dontrelle Inman,WR,IND,8,7,0.510901373208,1.342822,0.347593582888,0.991321889677,0.882352941176
2018,Ryan Fitzpatrick,QB,TB,8,13,0.579951771519,5.609255,0.313725490196,0.980831915719,0.901960784314
2016,Robert Turbin,RB,IND,15,4,1.01576851737,1.474284,0.412621359223,0.97523673189,0.912621359223
2017,Case Keenum,QB,MIN,15,5,0.923967601944,3.607186,0.333333333333,0.945994433433,0.866666666667
2023,Latavius Murray,RB,BUF,15,10,0.883810516586,1.765262,0.490990990991,0.931453767313,0.846846846847
2023,Donald Parham,TE,LAC,14,4,0.88101598326,1.2107289,0.121212121212,0.923434411193,0.909090909091
2018,Jordan Matthews,TE,PHI,11,4,0.747472050151,1.699774,0.466019417476,0.902731285597,0.864077669903
2023,Ty Johnson,RB,BUF,9,4,0.650045634751,1.651375,0.418918918919,0.856853204492,0.801801801802
2017,Jordan Todman,RB,HOU,9,6,0.537432383135,1.397784,0.365217391304,0.829496166276,0.791304347826
2017,Benny Cunningham,RB,CHI,14,4,0.816288978922,1.542072,0.478260869565,0.828971675842,0.782608695652
2023,Mike Boone,RB,HOU,9,5,0.488356163368,1.42024915,0.315315315315,0.800071255467,0.792792792793
2016,Dontrelle Inman,WR,LAC,16,5,0.756084688508,1.163908,0.243670886076,0.796746525889,0.822784810127
2025,Ameer Abdullah,RB,IND,13,10,0.521721105699,1.35389,0.456,0.783602144769,0.808
2024,Jeremy McNichols,RB,WAS,15,7,0.741696948698,1.326742,0.342105263158,0.772077074764,0.833333333333
2021,Laquon Treadwell,WR,JAX,12,5,0.547269671335,1.633907,0.407035175879,0.761766282525,0.879396984925
2024,Kareem Hunt,RB,KC,13,7,0.589304804534,1.426985,0.385964912281,0.746371188565,0.824561403509
2022,Marquise Goodwin,WR,SEA,13,9,0.498864250861,1.840908,0.439473684211,0.719225619377,0.868421052632
2021,Jerick McKinnon,RB,KC,9,7,0.380807285125,1.633907,0.475806451613,0.713181293588,0.766129032258
