player_id,player,position,team,input_season,target_season,predicted_opportunity_per_game,predicted_efficiency_per_opportunity,efficiency_qualified,predicted_value_per_game,value_sigma,value_interval_low,value_interval_high,efficiency_variance_share,uncertainty_driver,predicted_value_score,value_score_interval_low,value_score_interval_high,position_rank
00-0039337,Malik Nabers,WR,NYG,2025,2026,7.58831871967,0.488424389674,False,3.7063199393,1.86980029778,1.31297555814,6.09966432047,0.874755464161,efficiency-driven,1.78398668773,0.147153988517,3.42081938694,1
00-0039338,Brock Bowers,TE,LV,2025,2026,8.07764934337,0.305502249272,True,2.46774004323,2.02677890553,-0.126536955846,5.06201704231,0.957486611072,efficiency-driven,1.75847775084,-0.786612416169,4.30356791784,1
00-0036554,Nico Collins,WR,HOU,2025,2026,6.0186200378,0.598368763186,True,3.6013542281,1.59409659963,1.56091058057,5.64179787564,0.757095332396,efficiency-driven,1.71219956435,0.31671928601,3.10767984268,2
00-0039893,Brian Thomas Jr.,WR,JAX,2025,2026,5.77133354304,0.592465492741,True,3.41931597135,1.54134515008,1.44639417925,5.39223776345,0.744626579131,efficiency-driven,1.58770173883,0.238400347979,2.93700312969,3
00-0037240,Jameson Williams,WR,DET,2025,2026,4.42005839215,0.758429744494,True,3.35230375701,1.40745000936,1.55076774503,5.15383976899,0.523812723151,mixed,1.54187140011,0.309782497054,2.77396030316,4
00-0040126,Colston Loveland,TE,CHI,2025,2026,6.1366809489,0.363485321397,True,2.23059344702,1.57760089829,0.211264297206,4.24992259684,0.912112206493,efficiency-driven,1.52582739378,-0.455215788958,3.50687057651,2
00-0039915,Ladd McConkey,WR,LAC,2025,2026,5.00490333596,0.608764060087,True,3.04680527514,1.40231219762,1.25184566219,4.84176488809,0.676531388142,efficiency-driven,1.332937864,0.105346627497,2.5605291005,5
00-0038996,Tucker Kraft,TE,GB,2025,2026,3.14972830714,0.599529511203,True,1.8883550724,1.03691544394,0.561103304162,3.21560684064,0.556205103735,mixed,1.19007777169,-0.112009640596,2.49216518398,3
00-0038543,Jaxon Smith-Njigba,WR,SEA,2025,2026,6.16520292046,0.448058502273,True,2.76237158675,1.54914971409,0.779459952716,4.74528322079,0.841189716106,efficiency-driven,1.13841075558,-0.217722790343,2.4945443015,6
00-0039075,Puka Nacua,WR,LA,2025,2026,6.13452690335,0.444457525856,True,2.72653664976,1.54110371552,0.753923893897,4.69914940562,0.841558676487,efficiency-driven,1.11390287568,-0.235187162129,2.46299291349,7
00-0036410,Tee Higgins,WR,CIN,2025,2026,4.63474338434,0.576479982509,True,2.67183678514,1.31130557382,0.993365650654,4.35030791962,0.663482630858,efficiency-driven,1.07649307885,-0.0714304958914,2.22441665359,8
00-0038994,Jordan Addison,WR,MIN,2025,2026,4.76433679073,0.556266914791,True,2.6502429276,1.32281570747,0.957038822045,4.34344703316,0.688957144267,efficiency-driven,1.06172481884,-0.0962747854943,2.21972442317,9
00-0037744,Trey McBride,TE,ARI,2025,2026,5.39916444559,0.324034921916,True,1.74951782954,1.39467979161,-0.0356723037229,3.5347079628,0.903398910749,efficiency-driven,1.05387284764,-0.69747053474,2.80521623002,4
00-0036322,Justin Jefferson,WR,MIN,2025,2026,5.4771301388,0.480005795281,True,2.62905420813,1.4208851181,0.810321256967,4.4477871593,0.78917655556,efficiency-driven,1.04723363689,-0.196616428744,2.29108370253,10
00-0033288,George Kittle,TE,SF,2025,2026,3.60762282036,0.480801801162,True,1.73455154994,1.05635616887,0.382415653785,3.0866874461,0.703067420624,efficiency-driven,1.0391903249,-0.287309418569,2.36569006837,5
00-0036912,DeVonta Smith,WR,PHI,2025,2026,5.08351009442,0.514683885067,True,2.61640072517,1.3601185052,0.875449038523,4.35735241182,0.741924764797,efficiency-driven,1.03857979049,-0.152074872871,2.22923445385,11
00-0038933,Dalton Kincaid,TE,BUF,2025,2026,3.23292503198,0.532930199584,True,1.72292338253,1.01067254179,0.429262529037,3.01658423603,0.616802041694,mixed,1.02778262459,-0.241350748157,2.29691599733,6
00-0036900,Ja'Marr Chase,WR,CIN,2025,2026,6.21520899113,0.416930606418,True,2.59131085368,1.54671383197,0.611517148765,4.5711045586,0.857585680477,efficiency-driven,1.02142057078,-0.33258059153,2.37542173309,12
00-0034857,Josh Allen,QB,BUF,2025,2026,35.1917499803,0.17452826085,True,6.14195492034,3.42615230435,1.75647997077,10.5274298699,0.893067194586,efficiency-driven,1.01137182174,0.0540758435015,1.96866779997,1
00-0040737,Terrance Ferguson,TE,LA,2025,2026,3.52924774868,0.480109377213,False,1.69442493865,1.03991055831,0.363339424008,3.02551045329,0.694300992121,efficiency-driven,0.999824503951,-0.306023967881,2.30567297578,7
00-0037238,Drake London,WR,ATL,2025,2026,5.94237914248,0.423100038344,True,2.51422084304,1.49128693305,0.605373568739,4.42306811735,0.84330422564,efficiency-driven,0.968697924099,-0.336782248741,2.27417809694,13
00-0034796,Lamar Jackson,QB,BAL,2025,2026,31.6138485897,0.186743083494,True,5.90366756673,3.13967182915,1.88488762542,9.92244750805,0.858226587663,efficiency-driven,0.959356583277,0.0821056767086,1.83660748984,2
00-0033040,Tyreek Hill,WR,MIA,2025,2026,4.69715331009,0.5247797087,False,2.46497074579,1.29034069384,0.813334657669,4.11660683391,0.703795796807,efficiency-driven,0.935015278901,-0.194555533186,2.06458609099,14
00-0038611,Chris Rodriguez Jr.,RB,WAS,2025,2026,5.62104849629,0.108523889473,True,0.610018045733,0.633812707053,-0.201262219295,1.42129831076,0.348497866224,mixed,0.902401368706,0.231788836565,1.57301390085,1
00-0039064,Zay Flowers,WR,BAL,2025,2026,4.64655330112,0.50425948506,True,2.34306857493,1.26813549889,0.71985513634,3.96628201351,0.71304430072,efficiency-driven,0.851645137545,-0.258487133846,1.96177740894,15
00-0039065,Sam LaPorta,TE,DET,2025,2026,4.00096639637,0.382738558037,True,1.5313241093,1.09545520482,0.129141447137,2.93350677147,0.804111049242,efficiency-driven,0.839816024848,-0.535781610677,2.21541366037,8
00-0036963,Amon-Ra St. Brown,WR,DET,2025,2026,5.46398741518,0.423396562346,True,2.31343348829,1.39086345109,0.533128270895,4.09373870569,0.819664973656,efficiency-driven,0.831377398715,-0.386191546796,2.04894634423,16
00-0033106,Jared Goff,QB,DET,2025,2026,30.665772622,0.169953947725,True,5.21176911715,3.02731076322,1.33681134024,9.08672689407,0.868579453499,efficiency-driven,0.808323545636,-0.0375327272524,1.65417981852,3
00-0037594,Julius Chestnut,RB,TEN,2025,2026,4.13962329559,0.109707193755,False,0.454146454961,0.584653319691,-0.294209794244,1.20250270417,0.222132521943,role-driven,0.773556323802,0.154957424192,1.39215522341,2
00-0036358,CeeDee Lamb,WR,DAL,2025,2026,6.06207264102,0.363654550201,True,2.20450029956,1.49333083322,0.293036833036,4.11596376607,0.87521790551,efficiency-driven,0.756876876869,-0.550392536583,2.06414629032,17
00-0038544,Quentin Johnston,WR,LAC,2025,2026,3.59303128736,0.610626542117,True,2.19400027072,1.15115707076,0.720519220144,3.6674813213,0.517414759723,mixed,0.749695799766,-0.258032960141,1.75742455967,18
00-0035537,Ty Johnson,RB,BUF,2025,2026,4.66835015977,0.0783079177925,True,0.365568780538,0.516843967423,-0.295991497763,1.02712905884,0.361489167145,mixed,0.700337115723,0.153484649912,1.24718958153,3
00-0039798,Isaiah Davis,RB,NYJ,2025,2026,5.6288058942,0.0634122842354,True,0.356935439269,0.526176260047,-0.316570173592,1.03044105213,0.507057707238,mixed,0.693200707876,0.136474106823,1.24992730893,4
00-0037261,Khalil Shakir,WR,BUF,2025,2026,4.28063358999,0.491786160584,True,2.10515635809,1.1899668533,0.581998785865,3.62831393031,0.687277882166,efficiency-driven,0.688934539299,-0.352768501804,1.7306375804,19
00-0037247,George Pickens,WR,DAL,2025,2026,4.28048653912,0.48598527284,True,2.0802534186,1.18635540453,0.5617185008,3.5987883364,0.691421104098,efficiency-driven,0.6719031643,-0.366638396168,1.71044472477,20
00-0039849,Marvin Harrison Jr.,WR,ARI,2025,2026,4.29631182591,0.475544740708,True,2.04308849325,1.18303714631,0.52880094598,3.55737604052,0.70045592505,efficiency-driven,0.646485691766,-0.38915104856,1.68212243209,21
00-0040189,Oronde Gadsden II,TE,LAC,2025,2026,2.64018770862,0.503290501174,True,1.32878139506,0.881301975452,0.200714866485,2.45684792364,0.540997914584,mixed,0.641113468955,-0.465565205156,1.74779214306,9
00-0037664,Alec Pierce,WR,IND,2025,2026,2.95022509875,0.685634724816,True,2.02277677373,1.11702421047,0.592985784325,3.45256776313,0.370485419217,mixed,0.632594299055,-0.345254381193,1.6104429793,22
00-0040124,Tetairoa McMillan,WR,CAR,2025,2026,4.75592130428,0.421113260459,True,2.00278152693,1.24389471163,0.410596296046,3.59496675781,0.776404533805,efficiency-driven,0.618919345276,-0.469992417539,1.70783110809,23
00-0039851,Drake Maye,QB,NE,2025,2026,34.1303059363,0.125056795427,True,4.26822668733,3.26155334652,0.0934384037818,8.44301497088,0.926930407428,efficiency-driven,0.602359679975,-0.308945955057,1.51366531501,4
00-0030506,Travis Kelce,TE,KC,2025,2026,3.73902923117,0.343893482556,True,1.28582778369,1.02260484976,-0.0231064240027,2.59476199138,0.805893203537,efficiency-driven,0.598974247127,-0.685142900903,1.88309139516,10
00-0039919,Rome Odunze,WR,CHI,2025,2026,4.29631182591,0.455859974191,True,1.95851659808,1.1713462007,0.459193461184,3.45783973497,0.714507890847,efficiency-driven,0.588646107732,-0.436756319294,1.61404853476,24
00-0036613,Jaylen Waddle,WR,MIA,2025,2026,4.1830044399,0.464304575289,True,1.9421880999,1.15442185427,0.464528126431,3.41984807337,0.697322305992,efficiency-driven,0.577478880837,-0.433107887174,1.58806564885,25
00-0039794,Braelon Allen,RB,NYJ,2025,2026,10.6648133824,0.0151601689897,False,0.16168037312,0.761061770603,-0.812478693252,1.13583943949,0.870069708973,efficiency-driven,0.531800881001,-0.273448927688,1.33705068969,5
00-0038128,Malik Willis,QB,GB,2025,2026,23.5822492163,0.166429329799,False,3.92477793223,2.42355932626,0.822621994616,7.02693386984,0.801454511866,efficiency-driven,0.527388983353,-0.149774023412,1.20455199012,5
00-0040236,Kyle Monangai,RB,CHI,2025,2026,5.83278928339,0.0182739155482,True,0.106587898775,0.477160933695,-0.504178096354,0.717353893904,0.662079525728,efficiency-driven,0.486260880442,-0.0186045134232,0.991126274307,6
00-0039021,Roschon Johnson,RB,CHI,2025,2026,7.96284187543,0.0129203789849,False,0.102882934827,0.59597687273,-0.659967462267,0.865733331921,0.790978560559,efficiency-driven,0.483198319498,-0.147381590419,1.11377822942,7
