position,method,method_type,n,rmse,r2,skill_vs_persistence
QB,random_forest,model,208,9.505890311711118,0.19724786762198898,0.08833489135539896
QB,gradient_boosting,model,208,9.802112403730563,0.14643769545406493,0.059925627535982295
QB,persistence,baseline,208,10.426954176017333,0.03414751755880874,0.0
RB,persistence,baseline,444,4.123664573026755,0.5944773116195017,0.0
RB,random_forest,model,444,4.830459493414498,0.44355097829822754,-0.17139971204519155
RB,gradient_boosting,model,444,4.921794298153348,0.42230925274303865,-0.19354865338641458
TE,persistence,baseline,392,0.9645040695597659,0.6248820141234421,0.0
TE,random_forest,model,392,1.157148016151441,0.46006983770144017,-0.19973367938157538
TE,gradient_boosting,model,392,1.261861393654775,0.35792898370253257,-0.3083007459271101
WR,persistence,baseline,729,1.277013653029003,0.5776204826598497,0.0
WR,random_forest,model,729,1.427886708925394,0.47192054587751353,-0.11814521758520646
WR,gradient_boosting,model,729,1.4887250268909917,0.4259618617212695,-0.16578630413216144
