validation_season,method,n,rmse,mae
2020,hist_gradient_boosting,5530,6.52694524208,4.88694482217
2020,hist_gradient_boosting_per_position,5530,6.82388864956,5.13485157279
2020,recent_4_avg,5530,6.99022412489,5.13912084527
2020,season_to_date_avg,5530,7.02284983504,5.18365423591
2020,position_mean,5530,7.98085360027,6.21616429736
2021,hist_gradient_boosting,5856,6.27610248013,4.72116674164
2021,hist_gradient_boosting_per_position,5856,6.57108102426,4.92075444091
2021,recent_4_avg,5856,6.76907101849,4.99123993294
2021,season_to_date_avg,5856,6.87579040283,5.06903957583
2021,position_mean,5856,7.74659031065,6.12708091674
2022,hist_gradient_boosting,5818,6.13235258941,4.57386730389
2022,hist_gradient_boosting_per_position,5818,6.30107400026,4.72359877145
2022,recent_4_avg,5818,6.65412096561,4.86379080755
2022,season_to_date_avg,5818,6.67143209445,4.89691140706
2022,position_mean,5818,7.5510300809,5.9723925034
2023,hist_gradient_boosting,5811,6.05462363226,4.45066045995
2023,hist_gradient_boosting_per_position,5811,6.17788144981,4.56624484155
2023,recent_4_avg,5811,6.45746398597,4.64738846758
2023,season_to_date_avg,5811,6.51554418558,4.72966537447
2023,position_mean,5811,7.58942362095,5.97719817399
2024,hist_gradient_boosting,5848,6.12220161934,4.51516240647
2024,hist_gradient_boosting_per_position,5848,6.30174631036,4.6414215262
2024,recent_4_avg,5848,6.56215365545,4.73575109921
2024,season_to_date_avg,5848,6.58601092473,4.75877305185
2024,position_mean,5848,7.73532977849,6.15728904745
2025,hist_gradient_boosting,6043,6.01881663059,4.4332026292
2025,hist_gradient_boosting_per_position,6043,6.112908545,4.48946078737
2025,recent_4_avg,6043,6.50231156886,4.65375522302
2025,season_to_date_avg,6043,6.55546295846,4.7103482751
2025,position_mean,6043,7.62207622827,6.04907557605
