position,method,method_type,n,rmse,mae,skill_vs_recent_4_avg
QB,hist_gradient_boosting,model,3901,7.46565842571,5.94652263219,0.100736120581
QB,hist_gradient_boosting_per_position,model,3901,7.85929228295,6.28612141259,0.0533215873481
QB,recent_4_avg,baseline,3901,8.30196630441,6.53493198685,0
QB,season_to_date_avg,baseline,3901,8.35685224955,6.53780387668,-0.00661119825453
QB,position_mean,baseline,3901,9.25071696717,7.58816117271,-0.114280235305
RB,hist_gradient_boosting,model,9146,6.2545012186,4.62553396738,0.0707823311504
RB,hist_gradient_boosting_per_position,model,9146,6.49488411058,4.80198580191,0.0350691667083
RB,recent_4_avg,baseline,9146,6.73093229742,4.86685231175,0
RB,season_to_date_avg,baseline,9146,6.75171137169,4.89738793596,-0.00308710195693
RB,position_mean,baseline,9146,8.04509385367,6.44995925738,-0.195242129645
TE,hist_gradient_boosting,model,7312,4.95288460045,3.60163880928,0.0782901710377
TE,hist_gradient_boosting_per_position,model,7312,5.16051396335,3.7333637953,0.0396512686597
TE,recent_4_avg,baseline,7312,5.37358336086,3.86344969512,0
TE,season_to_date_avg,baseline,7312,5.47600553092,3.97893519936,-0.0190603110035
TE,position_mean,baseline,7312,5.9850688438,4.58608242645,-0.11379473284
WR,hist_gradient_boosting,model,14547,6.22765067741,4.60883245608,0.0693565506699
WR,hist_gradient_boosting_per_position,model,14547,6.3363615947,4.70552910064,0.053111082148
WR,recent_4_avg,baseline,14547,6.69176867027,4.84734438518,0
WR,season_to_date_avg,baseline,14547,6.73554182853,4.89645301497,-0.00654134361499
WR,position_mean,baseline,14547,7.79259916752,6.19871202566,-0.164505163208
