game_id,season,week,gameday,away_team,home_team,away_score,home_score,actual_winner,home_win,matchup,spread_line,total_line,home_rest,away_rest,rest_advantage,div_game,home_recent_win_rate,away_recent_win_rate,recent_win_rate_diff,home_recent_point_diff,away_recent_point_diff,recent_point_diff_diff,home_recent_points_for,away_recent_points_for,predicted_home_win_probability,predicted_winner,correct_prediction,winner_probability,confidence_level,market_signal,pick_explanation,prediction_source
2025_01_ARI_NO,2025,1,2025-09-07,ARI,NO,20,13,ARI,0,ARI at NO,-6,44.5,7,7,0,0,,,,,,,,,0.237467685312,ARI,True,0.762532314688,High,Market leaned ARI by 6.0,Picked ARI at 76%. Market leaned ARI by 6.0; recent-form signal was limited or close.,rolling_backtest
2025_01_BAL_BUF,2025,1,2025-09-07,BAL,BUF,40,41,BUF,1,BAL at BUF,-1.5,50.5,7,7,0,0,,,,,,,,,0.369162934949,BAL,False,0.630837065051,Medium,Market leaned BAL by 1.5,Picked BAL at 63%. Market leaned BAL by 1.5; recent-form signal was limited or close.,rolling_backtest
2025_01_CAR_JAX,2025,1,2025-09-07,CAR,JAX,10,26,JAX,1,CAR at JAX,4.5,45.5,7,7,0,0,,,,,,,,,0.634245972174,JAX,True,0.634245972174,Medium,Market leaned JAX by 4.5,Picked JAX at 63%. Market leaned JAX by 4.5; recent-form signal was limited or close.,rolling_backtest
2025_01_CIN_CLE,2025,1,2025-09-07,CIN,CLE,17,16,CIN,0,CIN at CLE,-5.5,47.5,7,7,0,1,,,,,,,,,0.242341572275,CIN,True,0.757658427725,High,Market leaned CIN by 5.5,Picked CIN at 76%. Market leaned CIN by 5.5; recent-form signal was limited or close.,rolling_backtest
2025_01_DAL_PHI,2025,1,2025-09-04,DAL,PHI,20,24,PHI,1,DAL at PHI,8.5,47.5,7,7,0,1,,,,,,,,,0.756558309256,PHI,True,0.756558309256,High,Market leaned PHI by 8.5,Picked PHI at 76%. Market leaned PHI by 8.5; recent-form signal was limited or close.,rolling_backtest
2025_01_DET_GB,2025,1,2025-09-07,DET,GB,13,27,GB,1,DET at GB,1.5,48.5,7,7,0,1,,,,,,,,,0.482160885897,DET,False,0.517839114103,Low,Market leaned GB by 1.5,Picked DET at 52%. Market leaned GB by 1.5; recent-form signal was limited or close.,rolling_backtest
2025_01_HOU_LA,2025,1,2025-09-07,HOU,LA,9,14,LA,1,HOU at LA,3.5,43.5,7,7,0,0,,,,,,,,,0.58997960212,LA,True,0.58997960212,Medium,Market leaned LA by 3.5,Picked LA at 59%. Market leaned LA by 3.5; recent-form signal was limited or close.,rolling_backtest
2025_01_KC_LAC,2025,1,2025-09-05,KC,LAC,21,27,LAC,1,KC at LAC,-3,47.5,7,7,0,1,,,,,,,,,0.317006399439,KC,False,0.682993600561,High,Market leaned KC by 3.0,Picked KC at 68%. Market leaned KC by 3.0; recent-form signal was limited or close.,rolling_backtest
2025_01_LV_NE,2025,1,2025-09-07,LV,NE,20,13,LV,0,LV at NE,2.5,44.5,7,7,0,0,,,,,,,,,0.545756230232,NE,False,0.545756230232,Low,Market leaned NE by 2.5,Picked NE at 55%. Market leaned NE by 2.5; recent-form signal was limited or close.,rolling_backtest
2025_01_MIA_IND,2025,1,2025-09-07,MIA,IND,8,33,IND,1,MIA at IND,1.5,47.5,7,7,0,0,,,,,,,,,0.496347235637,MIA,False,0.503652764363,Low,Market leaned IND by 1.5,Picked MIA at 50%. Market leaned IND by 1.5; recent-form signal was limited or close.,rolling_backtest
2025_01_MIN_CHI,2025,1,2025-09-08,MIN,CHI,27,24,MIN,0,MIN at CHI,-1.5,43.5,7,7,0,1,,,,,,,,,0.390002666457,MIN,True,0.609997333543,Medium,Market leaned MIN by 1.5,Picked MIN at 61%. Market leaned MIN by 1.5; recent-form signal was limited or close.,rolling_backtest
2025_01_NYG_WAS,2025,1,2025-09-07,NYG,WAS,6,21,WAS,1,NYG at WAS,6,45.5,7,7,0,1,,,,,,,,,0.671423419632,WAS,True,0.671423419632,High,Market leaned WAS by 6.0,Picked WAS at 67%. Market leaned WAS by 6.0; recent-form signal was limited or close.,rolling_backtest
2025_01_PIT_NYJ,2025,1,2025-09-07,PIT,NYJ,34,32,PIT,0,PIT at NYJ,-3,37.5,7,7,0,0,,,,,,,,,0.358888340928,PIT,True,0.641111659072,Medium,Market leaned PIT by 3.0,Picked PIT at 64%. Market leaned PIT by 3.0; recent-form signal was limited or close.,rolling_backtest
2025_01_SF_SEA,2025,1,2025-09-07,SF,SEA,17,13,SF,0,SF at SEA,-2.5,43.5,7,7,0,1,,,,,,,,,0.352108761005,SF,True,0.647891238995,Medium,Market leaned SF by 2.5,Picked SF at 65%. Market leaned SF by 2.5; recent-form signal was limited or close.,rolling_backtest
2025_01_TB_ATL,2025,1,2025-09-07,TB,ATL,23,20,TB,0,TB at ATL,-1.5,47.5,7,7,0,1,,,,,,,,,0.370924756076,TB,True,0.629075243924,Medium,Market leaned TB by 1.5,Picked TB at 63%. Market leaned TB by 1.5; recent-form signal was limited or close.,rolling_backtest
2025_01_TEN_DEN,2025,1,2025-09-07,TEN,DEN,12,20,DEN,1,TEN at DEN,8.5,42.5,7,7,0,0,,,,,,,,,0.776438008608,DEN,True,0.776438008608,High,Market leaned DEN by 8.5,Picked DEN at 78%. Market leaned DEN by 8.5; recent-form signal was limited or close.,rolling_backtest
2025_02_ATL_MIN,2025,2,2025-09-14,ATL,MIN,22,6,ATL,0,ATL at MIN,3.5,44.5,6,7,-1,0,1,0,1,3,-3,6,27,20,0.641150068494,MIN,False,0.641150068494,Medium,Market leaned MIN by 3.5,Picked MIN at 64%. Market leaned MIN by 3.5; recent point differential favored MIN; recent win rate favored MIN; rest favored ATL.,rolling_backtest
2025_02_BUF_NYJ,2025,2,2025-09-14,BUF,NYJ,30,10,BUF,0,BUF at NYJ,-6,47.5,7,7,0,1,0,1,-1,-2,1,-3,32,41,0.176360280864,BUF,True,0.823639719136,High,Market leaned BUF by 6.0,Picked BUF at 82%. Market leaned BUF by 6.0; recent point differential favored BUF; recent win rate favored BUF.,rolling_backtest
2025_02_CAR_ARI,2025,2,2025-09-14,CAR,ARI,22,27,ARI,1,CAR at ARI,7,45.5,7,7,0,0,1,0,1,7,-16,23,20,10,0.682753466647,ARI,True,0.682753466647,High,Market leaned ARI by 7.0,Picked ARI at 68%. Market leaned ARI by 7.0; recent point differential favored ARI; recent win rate favored ARI.,rolling_backtest
2025_02_CHI_DET,2025,2,2025-09-14,CHI,DET,21,52,DET,1,CHI at DET,6,46.5,7,6,1,1,0,0,0,-14,-3,-11,13,24,0.674522240225,DET,True,0.674522240225,High,Market leaned DET by 6.0,Picked DET at 67%. Market leaned DET by 6.0; recent point differential favored CHI; rest favored DET.,rolling_backtest
2025_02_CLE_BAL,2025,2,2025-09-14,CLE,BAL,17,41,BAL,1,CLE at BAL,12.5,46.5,7,7,0,1,0,0,0,-1,-1,0,40,16,0.872472742107,BAL,True,0.872472742107,High,Market leaned BAL by 12.5,Picked BAL at 87%. Market leaned BAL by 12.5; recent-form signal was limited or close.,rolling_backtest
2025_02_DEN_IND,2025,2,2025-09-14,DEN,IND,28,29,IND,1,DEN at IND,-2.5,43.5,7,7,0,0,1,1,0,25,8,17,33,20,0.354724142085,DEN,False,0.645275857915,Medium,Market leaned DEN by 2.5,Picked DEN at 65%. Market leaned DEN by 2.5; recent point differential favored IND.,rolling_backtest
2025_02_JAX_CIN,2025,2,2025-09-14,JAX,CIN,27,31,CIN,1,JAX at CIN,3.5,49.5,7,7,0,0,1,1,0,1,16,-15,17,26,0.673629330941,CIN,True,0.673629330941,High,Market leaned CIN by 3.5,Picked CIN at 67%. Market leaned CIN by 3.5; recent point differential favored JAX.,rolling_backtest
2025_02_LAC_LV,2025,2,2025-09-15,LAC,LV,20,9,LAC,0,LAC at LV,-3.5,46.5,8,10,-2,1,1,1,0,7,6,1,20,27,0.304163728888,LAC,True,0.695836271112,High,Market leaned LAC by 3.5,Picked LAC at 70%. Market leaned LAC by 3.5; rest favored LAC; recent-form signal was limited or close.,rolling_backtest
2025_02_LA_TEN,2025,2,2025-09-14,LA,TEN,33,19,LA,0,LA at TEN,-5.5,41.5,7,7,0,0,0,1,-1,-8,5,-13,12,14,0.274223138071,LA,True,0.725776861929,High,Market leaned LA by 5.5,Picked LA at 73%. Market leaned LA by 5.5; recent point differential favored LA; recent win rate favored LA.,rolling_backtest
2025_02_NE_MIA,2025,2,2025-09-14,NE,MIA,33,27,NE,0,NE at MIA,1.5,43.5,7,7,0,1,0,0,0,-25,-7,-18,8,13,0.562757910742,MIA,False,0.562757910742,Low,Market leaned MIA by 1.5,Picked MIA at 56%. Market leaned MIA by 1.5; recent point differential favored NE.,rolling_backtest
2025_02_NYG_DAL,2025,2,2025-09-14,NYG,DAL,37,40,DAL,1,NYG at DAL,4.5,44.5,10,7,3,1,0,0,0,-4,-15,11,20,6,0.560831840808,DAL,True,0.560831840808,Low,Market leaned DAL by 4.5,Picked DAL at 56%. Market leaned DAL by 4.5; recent point differential favored DAL; rest favored DAL.,rolling_backtest
2025_02_PHI_KC,2025,2,2025-09-14,PHI,KC,20,17,PHI,0,PHI at KC,-1.5,46.5,9,10,-1,0,0,1,-1,-6,4,-10,21,24,0.376478552748,PHI,True,0.623521447252,Medium,Market leaned PHI by 1.5,Picked PHI at 62%. Market leaned PHI by 1.5; recent point differential favored PHI; recent win rate favored PHI; rest favored PHI.,rolling_backtest
2025_02_SEA_PIT,2025,2,2025-09-14,SEA,PIT,31,17,SEA,0,SEA at PIT,3.5,40.5,7,7,0,0,1,0,1,2,-4,6,34,13,0.68633315645,PIT,False,0.68633315645,High,Market leaned PIT by 3.5,Picked PIT at 69%. Market leaned PIT by 3.5; recent point differential favored PIT; recent win rate favored PIT.,rolling_backtest
2025_02_SF_NO,2025,2,2025-09-14,SF,NO,26,21,SF,0,SF at NO,-3,40.5,7,7,0,0,0,1,-1,-7,4,-11,13,17,0.336863873859,SF,True,0.663136126141,High,Market leaned SF by 3.0,Picked SF at 66%. Market leaned SF by 3.0; recent point differential favored SF; recent win rate favored SF.,rolling_backtest
2025_02_TB_HOU,2025,2,2025-09-15,TB,HOU,20,19,TB,0,TB at HOU,2.5,42.5,8,8,0,0,0,1,-1,-5,3,-8,9,23,0.501900243513,HOU,False,0.501900243513,Low,Market leaned HOU by 2.5,Picked HOU at 50%. Market leaned HOU by 2.5; recent point differential favored TB; recent win rate favored TB.,rolling_backtest
2025_02_WAS_GB,2025,2,2025-09-11,WAS,GB,18,27,GB,1,WAS at GB,3.5,48.5,4,4,0,0,1,1,0,14,15,-1,27,21,0.659279453551,GB,True,0.659279453551,High,Market leaned GB by 3.5,Picked GB at 66%. Market leaned GB by 3.5; recent-form signal was limited or close.,rolling_backtest
2025_03_ARI_SF,2025,3,2025-09-21,ARI,SF,15,16,SF,1,ARI at SF,1.5,44.5,7,7,0,1,1,1,0,4.5,6,-1.5,21.5,23.5,0.54521471372,SF,True,0.54521471372,Low,Market leaned SF by 1.5,Picked SF at 55%. Market leaned SF by 1.5; recent-form signal was limited or close.,rolling_backtest
